note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
9;59;1/4;2;5;1;match;1;0;True;[non_monotonic]
10;67;1/4;2;5;0;match;0;0;True;[non_monotonic]
11;60;1/16;9/4;6;1;ornamentation;0;0;False;[non_monotonic]
12;59;1/16;37/16;7;1;ornamentation;0;0;False;[non_monotonic]
13;57;1/16;19/8;8;1;ornamentation;0;0;False;[non_monotonic]
14;59;1/16;39/16;9;1;ornamentation;0;0;False;[non_monotonic]
15;60;1/4;5/2;10;1;match;0;0;True;[non_monotonic]
15;60;1/4;5/2;10;1;match;0;1;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
16;62;1/16;11/4;11;1;ornamentation;0;1;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
17;60;1/16;45/16;12;1;ornamentation;0;1;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
18;59;1/16;23/8;13;1;ornamentation;0;1;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
19;57;1/16;47/16;14;1;ornamentation;0;1;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
20;55;1/2;3;15;1;match;1;1;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
21;67;1/2;3;15;0;repetition;0;1;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
232;57;1/8;285/8;131;2;ornamentation;0;4;True;[non_monotonic]
233;59;1/16;143/4;132;2;match;0;4;False;[non_monotonic]
234;57;1/16;573/16;133;4;ornamentation;0;4;False;[non_monotonic]
235;59;1/16;287/8;134;4;ornamentation;0;4;False;[non_monotonic]
236;61;1/16;575/16;135;4;ornamentation;0;4;False;[non_monotonic]
237;50;1/4;36;136;4;match;0;4;True;[non_monotonic]
400;59;1/4;251/4;214;3;ornamentation;0;6;True;[non_monotonic_chords]
401;52;1/8;63;215;4;match;1;6;False;[non_monotonic_chords]
402;60;1/8;63;215;3;match;0;6;False;[non_monotonic_chords]
403;59;1/8;505/8;216;3;ornamentation;0;6;False;[non_monotonic_chords]
404;60;1/8;253/4;217;3;ornamentation;0;6;False;[non_monotonic_chords]
405;62;1/8;507/8;218;3;ornamentation;0;6;False;[non_monotonic_chords]
406;52;1/4;127/2;219;4;repetition;1;6;True;[non_monotonic_chords]
407;60;1/4;127/2;219;3;repetition;0;6;True;[non_monotonic_chords]
444;55;1/4;68;247;5;repetition;1;10;True;[non_monotonic_chords]
445;59;1/4;68;247;1;match;0;10;True;[non_monotonic_chords]
446;57;1/8;273/4;248;1;ornamentation;0;10;False;[non_monotonic_chords]
447;59;1/8;547/8;249;1;ornamentation;0;10;False;[non_monotonic_chords]
448;53;1/8;137/2;250;5;match;1;10;False;[non_monotonic_chords]
449;60;1/8;137/2;250;1;adaptation;0;10;False;[non_monotonic_chords]
450;59;1/8;549/8;251;1;ornamentation;0;10;False;[non_monotonic_chords]
451;60;1/16;275/4;252;1;ornamentation;0;10;True;[non_monotonic_chords]
450;59;1/8;549/8;251;1;ornamentation;0;11;True;[non_monotonic]
451;60;1/16;275/4;252;1;ornamentation;0;11;False;[non_monotonic]
452;59;1/16;1101/16;253;1;ornamentation;0;11;False;[non_monotonic]
453;57;1/16;551/8;254;1;ornamentation;0;11;False;[non_monotonic]
454;59;1/16;1103/16;255;1;ornamentation;0;11;False;[non_monotonic]
455;52;1/8;69;256;5;match;1;11;True;[non_monotonic]
456;60;1/8;69;256;1;match;0;11;True;[non_monotonic]
454;59;1/16;1103/16;255;1;ornamentation;0;12;True;[non_monotonic_chords]
455;52;1/8;69;256;5;match;1;12;False;[non_monotonic_chords]
456;60;1/8;69;256;1;match;0;12;False;[non_monotonic_chords]
457;59;1/8;553/8;257;1;ornamentation;0;12;False;[non_monotonic_chords]
458;60;1/8;277/4;258;1;ornamentation;0;12;False;[non_monotonic_chords]
459;62;1/8;555/8;259;1;ornamentation;0;12;False;[non_monotonic_chords]
460;52;1/4;139/2;260;5;repetition;1;12;True;[non_monotonic_chords]
461;60;1/4;139/2;260;1;repetition;0;12;True;[non_monotonic_chords]
861;66;1/8;1021/8;453;0;ornamentation;0;15;True;[non_monotonic]
862;67;1/16;511/4;454;0;adaptation;0;15;False;[non_monotonic]
863;66;1/16;2045/16;455;0;ornamentation;0;15;False;[non_monotonic]
864;64;1/16;1023/8;456;0;ornamentation;0;15;False;[non_monotonic]
865;66;1/16;2047/16;457;0;ornamentation;0;15;False;[non_monotonic]
867;59;1/2;128;458;3;match;3;15;True;[non_monotonic]
868;62;1/2;128;458;2;match;2;15;True;[non_monotonic]
866;55;1/2;128;458;1;match;1;15;True;[non_monotonic]
869;67;1/2;128;458;0;match;0;15;True;[non_monotonic]
891;54;1/4;525/4;467;1;ornamentation;0;16;True;[non_monotonic]
892;55;1/8;263/2;468;1;repetition;0;16;False;[non_monotonic]
893;54;1/8;1053/8;469;4;ornamentation;0;16;False;[non_monotonic]
894;52;1/8;527/4;470;4;ornamentation;0;16;False;[non_monotonic]
895;54;1/8;1055/8;471;4;ornamentation;0;16;False;[non_monotonic]
896;55;1/4;132;472;4;match;1;16;True;[non_monotonic]
897;62;1/4;132;472;2;match;0;16;True;[non_monotonic]
992;71;1/8;1149/8;512;0;ornamentation;0;18;True;[non_monotonic]
993;72;1/16;575/4;513;0;ornamentation;0;18;False;[non_monotonic]
994;71;1/16;2301/16;514;0;ornamentation;0;18;False;[non_monotonic]
995;69;1/16;1151/8;515;0;ornamentation;0;18;False;[non_monotonic]
996;71;1/16;2303/16;516;0;ornamentation;0;18;False;[non_monotonic]
997;48;1/2;144;517;4;match;3;18;True;[non_monotonic]
998;55;1/2;144;517;3;repetition;2;18;True;[non_monotonic]
999;64;1/2;144;517;2;adaptation;1;18;True;[non_monotonic]
1000;72;1/2;144;517;0;match;0;18;True;[non_monotonic]
1042;43;1/4;153;541;5;match;1;19;True;[non_monotonic]
1043;59;1/4;153;541;3;match;0;19;True;[non_monotonic]
