note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
1085,43,1/4,160,571,5,adaptation,1,0,True
1089,59,1/8,1285/8,574,5,ornamentation,0,0,False
1090,57,1/8,643/4,575,5,ornamentation,0,0,False
1091,55,1/8,1287/8,576,5,ornamentation,0,0,False
1092,50,1/8,161,577,5,match,0,0,False
1101,50,1/2,162,585,5,repetition,2,0,True
1165,43,1/2,173,621,5,match,4,1,True
1188,48,1/8,1405/8,632,5,ornamentation,0,1,False
1189,47,1/8,703/4,633,5,ornamentation,0,1,False
1190,45,1/8,1407/8,634,5,ornamentation,0,1,False
1191,43,1/2,176,635,5,match,4,1,True
1329,43,1/4,194,696,5,match,4,2,True
1344,53,1/8,781/4,706,5,ornamentation,0,2,False
1345,52,1/8,1563/8,707,5,ornamentation,0,2,False
1346,50,1/8,391/2,708,5,ornamentation,0,2,False
1347,48,1/8,1565/8,709,5,ornamentation,0,2,False
1348,50,1/16,783/4,710,5,ornamentation,0,2,True
1347,48,1/8,1565/8,709,5,ornamentation,0,3,True
1348,50,1/16,783/4,710,5,ornamentation,0,3,False
1349,48,1/16,3133/16,711,5,ornamentation,0,3,False
1350,47,1/16,1567/8,712,5,ornamentation,0,3,False
1351,45,1/16,3135/16,713,5,ornamentation,0,3,False
1352,43,1/4,196,714,5,match,3,3,True
1352,43,1/4,196,714,5,match,3,4,True
1364,43,1/8,197,723,5,repetition,3,4,False
1368,53,1/8,1577/8,724,5,ornamentation,0,4,False
1369,55,1/8,789/4,725,5,ornamentation,0,4,False
1370,57,1/8,1579/8,726,5,ornamentation,0,4,False
1371,55,1/8,395/2,727,5,ornamentation,0,4,False
1372,53,1/8,1581/8,728,5,ornamentation,0,4,False
1373,55,1/16,791/4,729,5,ornamentation,0,4,True
1372,53,1/8,1581/8,728,5,ornamentation,0,5,True
1373,55,1/16,791/4,729,5,ornamentation,0,5,False
1374,53,1/16,3165/16,730,5,ornamentation,0,5,False
1375,52,1/16,1583/8,731,5,ornamentation,0,5,False
1376,50,1/16,3167/16,732,5,ornamentation,0,5,False
1377,48,1/4,198,733,5,match,4,5,True
