output_csv,duration,count,sequence_ids
output/5702_benedicta-2/5702_benedicta-2_tab_abtab.csv,1/16,4,"2,4,13,24"
output/5702_benedicta-2/5702_benedicta-2_tab_abtab.csv,1/8,11,"1,3,5,7,8,10,12,15,17,19,23"
output/5702_benedicta-2/5702_benedicta-2_tab_abtab.csv,1/4,13,"0,6,9,11,14,16,18,20,21,22,25,26,27"
output/5702_benedicta-2/fourstep/5702_benedicta-2_tab_abtab_fourstep.csv,1/16,4,"2,4,13,24"
output/5702_benedicta-2/fourstep/5702_benedicta-2_tab_abtab_fourstep.csv,1/8,4,"10,12,17,19"
output/5702_benedicta-2/fourstep/5702_benedicta-2_tab_abtab_non_chord.csv,1/16,4,"2,4,13,24"
output/5702_benedicta-2/fourstep/5702_benedicta-2_tab_abtab_non_chord.csv,1/8,10,"1,3,7,8,10,12,15,17,19,23"
output/5702_benedicta-2/fourstep/5702_benedicta-2_tab_abtab_non_chord.csv,1/4,1,16
output/5702_benedicta-2/5702_benedicta-2_tab_raw.csv,1/16,4,"1,3,8,12"
output/5702_benedicta-2/5702_benedicta-2_tab_raw.csv,1/8,9,"0,2,4,5,6,7,9,10,11"
output/5702_benedicta-2/fourstep/5702_benedicta-2_tab_raw_fourstep.csv,1/16,4,"1,3,8,12"
output/5702_benedicta-2/fourstep/5702_benedicta-2_tab_raw_fourstep.csv,1/8,4,"6,7,9,10"
output/5702_benedicta-2/fourstep/5702_benedicta-2_tab_raw_non_chord.csv,1/16,4,"1,3,8,12"
output/5702_benedicta-2/fourstep/5702_benedicta-2_tab_raw_non_chord.csv,1/8,8,"0,2,5,6,7,9,10,11"
output/5702_benedicta-2/voices/5702_benedicta-2_voice-1.csv,1/16,1,1
output/5702_benedicta-2/voices/5702_benedicta-2_voice-1.csv,1/8,4,"0,2,3,4"
output/5702_benedicta-2/voices/5702_benedicta-2_voice-1_fourstep.csv,1/16,1,1
output/5702_benedicta-2/voices/5702_benedicta-2_voice-1_fourstep.csv,1/8,1,4
output/5702_benedicta-2/voices/5702_benedicta-2_voice-0.csv,1/16,3,"1,7,11"
output/5702_benedicta-2/voices/5702_benedicta-2_voice-0.csv,1/8,9,"0,2,3,4,5,6,8,9,10"
output/5702_benedicta-2/voices/5702_benedicta-2_voice-0_fourstep.csv,1/16,3,"1,7,11"
output/5702_benedicta-2/voices/5702_benedicta-2_voice-0_fourstep.csv,1/8,3,"5,6,9"
output/5702_benedicta-2/5702_benedicta-2_voices_merged.csv,1/16,4,"1,6,12,16"
output/5702_benedicta-2/5702_benedicta-2_voices_merged.csv,1/8,13,"0,2,3,4,5,7,8,9,10,11,13,14,15"
output/5702_benedicta-2/fourstep/5702_benedicta-2_voices_merged_fourstep.csv,1/16,4,"1,6,12,16"
output/5702_benedicta-2/fourstep/5702_benedicta-2_voices_merged_fourstep.csv,1/8,4,"4,10,11,14"
