note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
6,72,1/2,5/2,4,0,match,0,0,True
7,64,1/4,3,5,1,match,1,0,False
8,72,1/4,3,5,0,match,0,0,False
9,62,1/4,13/4,6,1,ornamentation,0,0,False
10,60,1/4,7/2,7,1,match,0,0,False
11,62,1/4,15/4,8,1,match,0,0,False
12,64,1/4,4,9,1,match,1,0,False
13,72,1/4,4,9,0,repetition,0,0,False
14,66,1/4,17/4,10,1,ficta,0,0,False
15,67,1/2,9/2,11,1,match,1,0,True
16,67,1/2,9/2,11,0,match,0,0,True
36,67,1/2,17/2,25,1,match,1,1,True
37,67,1/2,17/2,25,0,match,0,1,True
38,69,1/8,9,26,0,match,0,1,False
39,67,1/8,73/8,27,1,ornamentation,0,1,False
40,66,1/8,37/4,28,1,match,0,1,False
41,64,1/8,75/8,29,1,ornamentation,0,1,False
42,67,1/8,19/2,30,1,adaptation,0,1,False
43,66,1/8,77/8,31,1,ornamentation,0,1,False
44,67,1/16,39/4,32,1,adaptation,0,1,True
43,66,1/8,77/8,31,1,ornamentation,0,2,True
44,67,1/16,39/4,32,1,adaptation,0,2,False
45,66,1/16,157/16,33,1,ornamentation,0,2,False
46,64,1/16,79/8,34,1,ornamentation,0,2,False
47,66,1/16,159/16,35,1,ornamentation,0,2,False
48,67,1/4,10,36,1,match,1,2,True
49,67,1/4,10,36,0,match,0,2,True
48,67,1/4,10,36,1,match,1,3,True
49,67,1/4,10,36,0,match,0,3,True
50,66,1/8,41/4,37,1,ornamentation,0,3,False
51,64,1/8,83/8,38,1,ornamentation,0,3,False
52,62,1/8,21/2,39,1,ornamentation,0,3,False
53,60,1/8,85/8,40,1,ornamentation,0,3,False
54,59,1/8,43/4,41,1,ornamentation,0,3,False
55,57,1/8,87/8,42,1,ornamentation,0,3,False
56,55,1/8,11,43,1,ornamentation,0,3,False
57,67,1/8,89/8,44,1,ornamentation,0,3,False
58,69,1/8,45/4,45,1,ornamentation,0,3,False
59,71,1/8,91/8,46,1,ornamentation,0,3,False
60,72,1/8,23/2,47,1,adaptation,0,3,False
61,71,1/8,93/8,48,0,ornamentation,0,3,False
62,72,1/16,47/4,49,0,ornamentation,0,3,True
61,71,1/8,93/8,48,0,ornamentation,0,4,True
62,72,1/16,47/4,49,0,ornamentation,0,4,False
63,71,1/16,189/16,50,0,ornamentation,0,4,False
64,69,1/16,95/8,51,0,ornamentation,0,4,False
65,67,1/16,191/16,52,0,ornamentation,0,4,False
66,69,1/8,12,53,0,match,0,4,True
65,67,1/16,191/16,52,0,ornamentation,0,5,True
66,69,1/8,12,53,0,match,0,5,False
67,66,1/8,97/8,54,0,ornamentation,0,5,False
68,67,1/8,49/4,55,0,ornamentation,0,5,False
69,69,1/8,99/8,56,0,ornamentation,0,5,False
70,55,1/8,25/2,57,1,match,1,5,False
71,71,1/8,25/2,57,0,match,0,5,False
72,67,1/8,101/8,58,0,ornamentation,0,5,False
73,69,1/8,51/4,59,0,ornamentation,0,5,False
74,71,1/8,103/8,60,0,ornamentation,0,5,False
75,57,1/4,13,61,1,match,1,5,True
76,72,1/4,13,61,0,match,0,5,True
74,71,1/8,103/8,60,0,ornamentation,0,6,True
75,57,1/4,13,61,1,match,1,6,False
76,72,1/4,13,61,0,match,0,6,False
77,64,1/4,53/4,62,1,ornamentation,0,6,False
78,59,1/4,27/2,63,1,match,0,6,False
79,71,1/8,55/4,64,0,match,0,6,True
78,59,1/4,27/2,63,1,match,0,7,True
79,71,1/8,55/4,64,0,match,0,7,False
80,69,1/8,111/8,65,0,ornamentation,0,7,False
81,60,1/4,14,66,1,match,1,7,True
82,67,1/4,14,66,0,match,0,7,True
81,60,1/4,14,66,1,match,1,8,True
82,67,1/4,14,66,0,match,0,8,True
83,70,1/8,57/4,67,0,ornamentation,0,8,False
84,69,1/8,115/8,68,0,ornamentation,0,8,False
85,67,1/8,29/2,69,0,repetition,0,8,False
86,65,1/8,117/8,70,1,ornamentation,0,8,False
87,64,1/8,59/4,71,1,ornamentation,0,8,False
88,62,1/8,119/8,72,1,ornamentation,0,8,False
89,60,1/8,15,73,1,ornamentation,0,8,False
90,57,1/8,121/8,74,1,ornamentation,0,8,False
91,59,1/8,61/4,75,1,ornamentation,0,8,False
92,60,1/8,123/8,76,1,ornamentation,0,8,False
93,59,1/4,31/2,77,1,match,1,8,True
94,71,1/4,31/2,77,0,match,0,8,True
92,60,1/8,123/8,76,1,ornamentation,0,9,True
93,59,1/4,31/2,77,1,match,1,9,False
94,71,1/4,31/2,77,0,match,0,9,False
95,57,1/4,63/4,78,1,ornamentation,0,9,False
96,55,1/4,16,79,1,match,0,9,False
97,69,1/4,65/4,80,0,match,0,9,False
98,67,1/4,33/2,81,0,match,0,9,False
99,59,1/4,67/4,82,1,match,0,9,False
100,57,1/4,17,83,1,match,0,9,False
101,66,1/4,69/4,84,0,match,0,9,False
102,67,1/8,35/2,85,0,adaptation,0,9,True
101,66,1/4,69/4,84,0,match,0,10,True
102,67,1/8,35/2,85,0,adaptation,0,10,False
103,66,1/8,141/8,86,0,ornamentation,0,10,False
104,64,1/8,71/4,87,0,match,0,10,False
105,66,1/8,143/8,88,0,ornamentation,0,10,False
106,67,1/4,18,89,0,match,0,10,True
105,66,1/8,143/8,88,0,ornamentation,0,11,True
