note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
49,67,1/4,10,36,0,match,0,5,True,0
61,71,1/8,93/8,48,0,ornamentation,0,5,False,0
62,72,1/16,47/4,49,0,ornamentation,0,5,True,0
61,71,1/8,93/8,48,0,ornamentation,0,6,True,1
62,72,1/16,47/4,49,0,ornamentation,0,6,False,1
63,71,1/16,189/16,50,0,ornamentation,0,6,False,1
64,69,1/16,95/8,51,0,ornamentation,0,6,False,1
65,67,1/16,191/16,52,0,ornamentation,0,6,False,1
66,69,1/8,12,53,0,match,0,6,True,1
65,67,1/16,191/16,52,0,ornamentation,0,7,True,2
66,69,1/8,12,53,0,match,0,7,False,2
67,66,1/8,97/8,54,0,ornamentation,0,7,False,2
68,67,1/8,49/4,55,0,ornamentation,0,7,False,2
69,69,1/8,99/8,56,0,ornamentation,0,7,False,2
71,71,1/8,25/2,57,0,match,0,7,False,2
72,67,1/8,101/8,58,0,ornamentation,0,7,False,2
73,69,1/8,51/4,59,0,ornamentation,0,7,False,2
74,71,1/8,103/8,60,0,ornamentation,0,7,False,2
76,72,1/4,13,61,0,match,0,7,True,2
76,72,1/4,13,61,0,match,0,8,True,3
79,71,1/8,55/4,64,0,match,0,8,False,3
80,69,1/8,111/8,65,0,ornamentation,0,8,False,3
82,67,1/4,14,66,0,match,0,8,True,3
82,67,1/4,14,66,0,match,0,9,True,4
83,70,1/8,57/4,67,0,ornamentation,0,9,False,4
84,69,1/8,115/8,68,0,ornamentation,0,9,False,4
85,67,1/8,29/2,69,0,repetition,0,9,False,4
94,71,1/4,31/2,77,0,match,0,9,True,4
101,66,1/4,69/4,84,0,match,0,10,True,5
102,67,1/8,35/2,85,0,adaptation,0,10,False,5
103,66,1/8,141/8,86,0,ornamentation,0,10,False,5
104,64,1/8,71/4,87,0,match,0,10,False,5
105,66,1/8,143/8,88,0,ornamentation,0,10,False,5
106,67,1/4,18,89,0,match,0,10,True,5
117,69,1/4,20,95,0,match,0,11,True,6
118,67,1/8,81/4,96,0,ornamentation,0,11,False,6
119,69,1/8,163/8,97,0,ornamentation,0,11,False,6
120,71,1/8,41/2,98,0,ornamentation,0,11,False,6
121,69,1/8,165/8,99,0,ornamentation,0,11,False,6
122,71,1/16,83/4,100,0,ornamentation,0,11,True,6
121,69,1/8,165/8,99,0,ornamentation,0,12,True,7
122,71,1/16,83/4,100,0,ornamentation,0,12,False,7
123,69,1/16,333/16,101,0,ornamentation,0,12,False,7
124,67,1/16,167/8,102,0,ornamentation,0,12,False,7
125,69,1/16,335/16,103,0,ornamentation,0,12,False,7
127,71,1/4,21,104,0,match,0,12,True,7
132,71,1/4,22,108,0,repetition,0,13,True,8
133,69,1/8,89/4,109,0,ornamentation,0,13,False,8
134,71,1/8,179/8,110,0,ornamentation,0,13,False,8
135,69,1/4,45/2,111,0,adaptation,0,13,True,8
136,67,1/4,91/4,112,0,ornamentation,0,14,True,9
137,66,1/8,23,113,0,adaptation,0,14,False,9
138,67,1/8,185/8,114,0,ornamentation,0,14,False,9
139,69,1/8,93/4,115,0,ornamentation,0,14,False,9
140,71,1/8,187/8,116,0,ornamentation,0,14,False,9
142,72,1/4,47/2,117,0,match,0,14,True,9
192,67,1/4,69/2,153,0,match,0,15,True,10
195,66,1/8,141/4,156,0,ornamentation,0,15,False,10
196,64,1/8,283/8,157,0,ornamentation,0,15,False,10
197,67,1/8,71/2,158,0,repetition,0,15,False,10
198,66,1/8,285/8,159,0,ornamentation,0,15,False,10
199,67,1/16,143/4,160,0,ornamentation,0,15,True,10
198,66,1/8,285/8,159,0,ornamentation,0,16,True,11
199,67,1/16,143/4,160,0,ornamentation,0,16,False,11
200,66,1/16,573/16,161,0,ornamentation,0,16,False,11
201,64,1/16,287/8,162,0,ornamentation,0,16,False,11
202,66,1/16,575/16,163,0,ornamentation,0,16,False,11
203,67,1/4,36,164,0,match,0,16,True,11
36,67,1/2,17/2,25,1,match,1,0,True,0
39,67,1/8,73/8,27,1,ornamentation,0,0,False,0
40,66,1/8,37/4,28,1,match,0,0,False,0
41,64,1/8,75/8,29,1,ornamentation,0,0,False,0
42,67,1/8,19/2,30,1,adaptation,0,0,False,0
43,66,1/8,77/8,31,1,ornamentation,0,0,False,0
44,67,1/16,39/4,32,1,adaptation,0,0,True,0
43,66,1/8,77/8,31,1,ornamentation,0,1,True,1
44,67,1/16,39/4,32,1,adaptation,0,1,False,1
45,66,1/16,157/16,33,1,ornamentation,0,1,False,1
46,64,1/16,79/8,34,1,ornamentation,0,1,False,1
47,66,1/16,159/16,35,1,ornamentation,0,1,False,1
48,67,1/4,10,36,1,match,1,1,True,1
48,67,1/4,10,36,1,match,1,2,True,2
50,66,1/8,41/4,37,1,ornamentation,0,2,False,2
51,64,1/8,83/8,38,1,ornamentation,0,2,False,2
52,62,1/8,21/2,39,1,ornamentation,0,2,False,2
53,60,1/8,85/8,40,1,ornamentation,0,2,False,2
54,59,1/8,43/4,41,1,ornamentation,0,2,False,2
55,57,1/8,87/8,42,1,ornamentation,0,2,False,2
56,55,1/8,11,43,1,ornamentation,0,2,False,2
57,67,1/8,89/8,44,1,ornamentation,0,2,False,2
58,69,1/8,45/4,45,1,ornamentation,0,2,False,2
59,71,1/8,91/8,46,1,ornamentation,0,2,False,2
60,72,1/8,23/2,47,1,adaptation,0,2,False,2
70,55,1/8,25/2,57,1,match,1,2,False,2
75,57,1/4,13,61,1,match,1,2,True,2
81,60,1/4,14,66,1,match,1,3,True,3
86,65,1/8,117/8,70,1,ornamentation,0,3,False,3
87,64,1/8,59/4,71,1,ornamentation,0,3,False,3
88,62,1/8,119/8,72,1,ornamentation,0,3,False,3
89,60,1/8,15,73,1,ornamentation,0,3,False,3
90,57,1/8,121/8,74,1,ornamentation,0,3,False,3
91,59,1/8,61/4,75,1,ornamentation,0,3,False,3
92,60,1/8,123/8,76,1,ornamentation,0,3,False,3
93,59,1/4,31/2,77,1,match,1,3,True,3
143,59,1/4,95/4,118,1,ornamentation,0,4,True,4
144,60,1/8,24,119,1,match,0,4,False,4
145,62,1/8,193/8,120,1,ornamentation,0,4,False,4
146,64,1/8,97/4,121,1,ornamentation,0,4,False,4
147,66,1/8,195/8,122,1,ornamentation,0,4,False,4
148,67,1/4,49/2,123,1,match,1,4,True,4
