note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
43;66;1/8;77/8;31;1;ornamentation;0;1;True;1;[non_monotonic]
44;67;1/16;39/4;32;1;adaptation;0;1;False;1;[non_monotonic]
45;66;1/16;157/16;33;1;ornamentation;0;1;False;1;[non_monotonic]
46;64;1/16;79/8;34;1;ornamentation;0;1;False;1;[non_monotonic]
47;66;1/16;159/16;35;1;ornamentation;0;1;False;1;[non_monotonic]
48;67;1/4;10;36;1;match;1;1;True;1;[non_monotonic]
143;59;1/4;95/4;118;1;ornamentation;0;4;True;4;[monotonic_perfect_fifth_0_1]
144;60;1/8;24;119;1;match;0;4;False;4;[monotonic_perfect_fifth_0_1]
145;62;1/8;193/8;120;1;ornamentation;0;4;False;4;[monotonic_perfect_fifth_0_1]
146;64;1/8;97/4;121;1;ornamentation;0;4;False;4;[monotonic_perfect_fifth_0_1]
147;66;1/8;195/8;122;1;ornamentation;0;4;False;4;[monotonic_perfect_fifth_0_1]
148;67;1/4;49/2;123;1;match;1;4;True;4;[monotonic_perfect_fifth_0_1]
61;71;1/8;93/8;48;0;ornamentation;0;6;True;1;[monotonic]
62;72;1/16;47/4;49;0;ornamentation;0;6;False;1;[monotonic]
63;71;1/16;189/16;50;0;ornamentation;0;6;False;1;[monotonic]
64;69;1/16;95/8;51;0;ornamentation;0;6;False;1;[monotonic]
65;67;1/16;191/16;52;0;ornamentation;0;6;False;1;[monotonic]
66;69;1/8;12;53;0;match;0;6;True;1;[monotonic]
101;66;1/4;69/4;84;0;match;0;10;True;5;[non_monotonic]
102;67;1/8;35/2;85;0;adaptation;0;10;False;5;[non_monotonic]
103;66;1/8;141/8;86;0;ornamentation;0;10;False;5;[non_monotonic]
104;64;1/8;71/4;87;0;match;0;10;False;5;[non_monotonic]
105;66;1/8;143/8;88;0;ornamentation;0;10;False;5;[non_monotonic]
106;67;1/4;18;89;0;match;0;10;True;5;[non_monotonic]
117;69;1/4;20;95;0;match;0;11;True;6;[non_monotonic]
118;67;1/8;81/4;96;0;ornamentation;0;11;False;6;[non_monotonic]
119;69;1/8;163/8;97;0;ornamentation;0;11;False;6;[non_monotonic]
120;71;1/8;41/2;98;0;ornamentation;0;11;False;6;[non_monotonic]
121;69;1/8;165/8;99;0;ornamentation;0;11;False;6;[non_monotonic]
122;71;1/16;83/4;100;0;ornamentation;0;11;True;6;[non_monotonic]
121;69;1/8;165/8;99;0;ornamentation;0;12;True;7;[non_monotonic]
122;71;1/16;83/4;100;0;ornamentation;0;12;False;7;[non_monotonic]
123;69;1/16;333/16;101;0;ornamentation;0;12;False;7;[non_monotonic]
124;67;1/16;167/8;102;0;ornamentation;0;12;False;7;[non_monotonic]
125;69;1/16;335/16;103;0;ornamentation;0;12;False;7;[non_monotonic]
127;71;1/4;21;104;0;match;0;12;True;7;[non_monotonic]
136;67;1/4;91/4;112;0;ornamentation;0;14;True;9;[monotonic]
137;66;1/8;23;113;0;adaptation;0;14;False;9;[monotonic]
138;67;1/8;185/8;114;0;ornamentation;0;14;False;9;[monotonic]
139;69;1/8;93/4;115;0;ornamentation;0;14;False;9;[monotonic]
140;71;1/8;187/8;116;0;ornamentation;0;14;False;9;[monotonic]
142;72;1/4;47/2;117;0;match;0;14;True;9;[monotonic]
198;66;1/8;285/8;159;0;ornamentation;0;16;True;11;[non_monotonic]
199;67;1/16;143/4;160;0;ornamentation;0;16;False;11;[non_monotonic]
200;66;1/16;573/16;161;0;ornamentation;0;16;False;11;[non_monotonic]
201;64;1/16;287/8;162;0;ornamentation;0;16;False;11;[non_monotonic]
202;66;1/16;575/16;163;0;ornamentation;0;16;False;11;[non_monotonic]
203;67;1/4;36;164;0;match;0;16;True;11;[non_monotonic]
