note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
43;66;1/8;77/8;31;1;ornamentation;0;1;True;[non_monotonic]
44;67;1/16;39/4;32;1;adaptation;0;1;False;[non_monotonic]
45;66;1/16;157/16;33;1;ornamentation;0;1;False;[non_monotonic]
46;64;1/16;79/8;34;1;ornamentation;0;1;False;[non_monotonic]
47;66;1/16;159/16;35;1;ornamentation;0;1;False;[non_monotonic]
48;67;1/4;10;36;1;match;1;1;True;[non_monotonic]
143;59;1/4;95/4;118;1;ornamentation;0;4;True;[monotonic_perfect_fifth_0_1]
144;60;1/8;24;119;1;match;0;4;False;[monotonic_perfect_fifth_0_1]
145;62;1/8;193/8;120;1;ornamentation;0;4;False;[monotonic_perfect_fifth_0_1]
146;64;1/8;97/4;121;1;ornamentation;0;4;False;[monotonic_perfect_fifth_0_1]
147;66;1/8;195/8;122;1;ornamentation;0;4;False;[monotonic_perfect_fifth_0_1]
148;67;1/4;49/2;123;1;match;1;4;True;[monotonic_perfect_fifth_0_1]
