output_csv,sequence_length,count,sequence_ids
output/5702_benedicta-3/5702_benedicta-3_tab_abtab.csv,4,2,"1,2"
output/5702_benedicta-3/5702_benedicta-3_tab_abtab.csv,6,1,0
output/5702_benedicta-3/5702_benedicta-3_tab_abtab.csv,28,1,3
output/5702_benedicta-3/fourstep/5702_benedicta-3_tab_abtab_fourstep.csv,4,1,2
output/5702_benedicta-3/fourstep/5702_benedicta-3_tab_abtab_non_chord.csv,4,2,"1,2"
output/5702_benedicta-3/fourstep/5702_benedicta-3_tab_abtab_non_chord.csv,6,1,0
output/5702_benedicta-3/fourstep/5702_benedicta-3_tab_abtab_non_chord.csv,28,1,3
output/5702_benedicta-3/5702_benedicta-3_tab_raw.csv,4,2,"1,2"
output/5702_benedicta-3/5702_benedicta-3_tab_raw.csv,6,1,0
output/5702_benedicta-3/5702_benedicta-3_tab_raw.csv,28,1,3
output/5702_benedicta-3/fourstep/5702_benedicta-3_tab_raw_fourstep.csv,4,1,2
output/5702_benedicta-3/fourstep/5702_benedicta-3_tab_raw_non_chord.csv,4,2,"1,2"
output/5702_benedicta-3/fourstep/5702_benedicta-3_tab_raw_non_chord.csv,6,1,0
output/5702_benedicta-3/fourstep/5702_benedicta-3_tab_raw_non_chord.csv,28,1,3
output/5702_benedicta-3/voices/5702_benedicta-3_voice-0.csv,13,1,0
output/5702_benedicta-3/voices/5702_benedicta-3_voice-3.csv,4,2,"1,2"
output/5702_benedicta-3/voices/5702_benedicta-3_voice-3.csv,6,1,0
output/5702_benedicta-3/voices/5702_benedicta-3_voice-3_fourstep.csv,4,1,2
output/5702_benedicta-3/voices/5702_benedicta-3_voice-5.csv,15,1,0
output/5702_benedicta-3/5702_benedicta-3_voices_merged.csv,4,2,"2,3"
output/5702_benedicta-3/5702_benedicta-3_voices_merged.csv,6,1,1
output/5702_benedicta-3/5702_benedicta-3_voices_merged.csv,13,1,0
output/5702_benedicta-3/5702_benedicta-3_voices_merged.csv,15,1,4
output/5702_benedicta-3/fourstep/5702_benedicta-3_voices_merged_fourstep.csv,4,1,3
