note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
3,58,1/2,3/2,3,3,match,0,0,True
4,58,1/4,2,4,3,match,0,0,False
5,57,1/4,9/4,5,3,ornamentation,0,0,False
6,58,1/8,5/2,6,3,repetition,0,0,True
5,57,1/4,9/4,5,3,ornamentation,0,1,True
6,58,1/8,5/2,6,3,repetition,0,1,False
7,57,1/8,21/8,7,3,ornamentation,0,1,False
8,55,1/8,11/4,8,3,ornamentation,0,1,False
9,57,1/8,23/8,9,3,ornamentation,0,1,False
11,58,3/4,3,10,3,match,1,1,True
10,55,3/4,3,10,2,match,0,1,True
18,48,1/4,5,14,3,match,0,2,True
19,58,1/8,21/4,15,2,ornamentation,0,2,False
20,57,1/8,43/8,16,2,ornamentation,0,2,False
21,58,1/8,11/2,17,2,repetition,0,2,False
22,57,1/8,45/8,18,2,ornamentation,0,2,False
23,55,1/8,23/4,19,2,ornamentation,0,2,False
24,57,1/8,47/8,20,2,ornamentation,0,2,False
25,46,1/4,6,21,3,match,2,2,True
26,58,1/4,6,21,2,match,1,2,True
27,62,1/4,6,21,1,match,0,2,True
24,57,1/8,47/8,20,2,ornamentation,0,3,True
25,46,1/4,6,21,3,match,2,3,False
26,58,1/4,6,21,2,match,1,3,False
27,62,1/4,6,21,1,match,0,3,False
28,60,1/4,25/4,22,2,adaptation,0,3,False
29,62,1/4,13/2,23,1,repetition,0,3,False
30,58,1/4,27/4,24,2,repetition,0,3,False
31,53,1/4,7,25,3,match,2,3,False
32,57,1/4,7,25,2,adaptation,1,3,False
33,60,1/4,7,25,1,match,0,3,False
34,62,1/4,29/4,26,1,ornamentation,0,3,False
35,64,1/4,15/2,27,1,adaptation,0,3,False
36,65,1/4,31/4,28,0,ornamentation,0,3,False
37,48,1/4,8,29,3,adaptation,2,3,False
38,55,1/4,8,29,2,adaptation,1,3,False
39,67,1/4,8,29,0,match,0,3,False
40,65,1/4,33/4,30,0,ornamentation,0,3,False
41,67,1/4,17/2,31,0,repetition,0,3,False
42,64,1/4,35/4,32,1,repetition,0,3,False
43,53,1/2,9,33,3,adaptation,3,3,True
44,57,1/2,9,33,2,match,2,3,True
45,65,1/2,9,33,1,match,1,3,True
45,65,1/2,9,33,0,match,0,3,True
46,55,1/2,19/2,34,3,adaptation,2,4,True
47,58,1/2,19/2,34,2,match,1,4,True
48,70,1/2,19/2,34,0,match,0,4,True
49,53,1/4,10,35,3,match,2,4,False
50,60,1/4,10,35,2,match,1,4,False
51,69,1/4,10,35,0,adaptation,0,4,False
52,67,1/4,41/4,36,0,ornamentation,0,4,False
53,53,1/4,21/2,37,3,repetition,2,4,False
54,60,1/4,21/2,37,2,repetition,1,4,False
55,70,1/4,21/2,37,0,repetition,0,4,False
56,69,1/4,43/4,38,0,ornamentation,0,4,False
57,46,1/2,11,39,3,match,2,4,True
58,58,1/2,11,39,2,match,1,4,True
59,70,1/2,11,39,0,match,0,4,True
57,46,1/2,11,39,3,match,2,5,True
58,58,1/2,11,39,2,match,1,5,True
59,70,1/2,11,39,0,match,0,5,True
60,53,1/4,23/2,40,1,ornamentation,0,5,False
61,69,1/4,47/4,41,1,ornamentation,0,5,False
62,46,1/2,12,42,3,repetition,2,5,True
63,58,1/2,12,42,2,repetition,1,5,True
64,65,1/2,12,42,1,match,0,5,True
62,46,1/2,12,42,3,repetition,2,6,True
63,58,1/2,12,42,2,repetition,1,6,True
64,65,1/2,12,42,1,match,0,6,True
65,53,1/4,25/2,43,1,ornamentation,0,6,False
66,63,1/4,51/4,44,1,ficta,0,6,False
67,58,1/2,13,45,3,match,1,6,True
68,62,1/2,13,45,1,match,0,6,True
99,50,1/2,37/2,61,3,match,2,7,True
100,57,1/2,37/2,61,2,adaptation,1,7,True
101,66,1/2,37/2,61,0,ficta,0,7,True
102,55,1/4,19,62,3,adaptation,2,7,False
103,58,1/4,19,62,2,repetition,1,7,False
104,67,1/4,19,62,0,match,0,7,False
105,69,1/4,77/4,63,0,match,0,7,False
107,58,1/4,39/2,64,3,adaptation,3,7,False
106,55,1/4,39/2,64,2,match,2,7,False
106,55,1/4,39/2,64,1,match,1,7,False
108,70,1/4,39/2,64,0,match,0,7,False
109,67,1/4,79/4,65,0,match,0,7,False
110,53,1/4,20,66,2,match,2,7,False
111,60,1/4,20,66,1,adaptation,1,7,False
112,69,1/4,20,66,0,match,0,7,False
113,67,1/4,81/4,67,0,ornamentation,0,7,False
114,55,1/4,41/2,68,2,match,1,7,False
115,66,1/4,41/2,68,0,adaptation,0,7,False
116,64,1/4,83/4,69,0,adaptation,0,7,False
117,50,1/4,21,70,3,match,2,7,False
118,57,1/4,21,70,2,repetition,1,7,False
119,67,1/4,21,70,0,repetition,0,7,False
120,66,1/4,85/4,71,0,adaptation,0,7,False
121,67,1/8,43/2,72,0,repetition,0,7,True
120,66,1/4,85/4,71,0,adaptation,0,8,True
121,67,1/8,43/2,72,0,repetition,0,8,False
122,66,1/8,173/8,73,0,ornamentation,0,8,False
123,64,1/8,87/4,74,0,ornamentation,0,8,False
124,66,1/8,175/8,75,0,ornamentation,0,8,False
125,55,1/4,22,76,2,match,2,8,True
126,58,1/4,22,76,1,adaptation,1,8,True
127,67,1/4,22,76,0,match,0,8,True
124,66,1/8,175/8,75,0,ornamentation,0,9,True
125,55,1/4,22,76,2,match,2,9,False
126,58,1/4,22,76,1,adaptation,1,9,False
127,67,1/4,22,76,0,match,0,9,False
128,53,1/4,89/4,77,2,ornamentation,0,9,False
129,55,1/4,45/2,78,2,repetition,0,9,False
130,57,1/4,91/4,79,1,ornamentation,0,9,False
131,58,1/4,23,80,1,repetition,1,9,False
132,62,1/4,23,80,0,adaptation,0,9,False
133,60,1/4,93/4,81,1,match,0,9,False
134,58,1/4,47/2,82,3,adaptation,1,9,False
135,62,1/4,47/2,82,1,match,0,9,False
136,64,1/4,95/4,83,1,match,0,9,False
137,57,1/2,24,84,3,adaptation,1,9,True
138,65,1/2,24,84,1,match,0,9,True
153,48,1/4,28,92,3,match,0,10,True
154,58,1/8,113/4,93,2,ornamentation,0,10,False
155,57,1/8,227/8,94,2,ornamentation,0,10,False
156,58,1/8,57/2,95,2,repetition,0,10,False
157,57,1/8,229/8,96,2,ornamentation,0,10,False
158,55,1/8,115/4,97,2,ornamentation,0,10,False
159,57,1/8,231/8,98,2,ornamentation,0,10,False
160,46,1/4,29,99,3,match,2,10,True
161,58,1/4,29,99,2,match,1,10,True
162,62,1/4,29,99,1,match,0,10,True
159,57,1/8,231/8,98,2,ornamentation,0,11,True
160,46,1/4,29,99,3,match,2,11,False
161,58,1/4,29,99,2,match,1,11,False
162,62,1/4,29,99,1,match,0,11,False
163,60,1/4,117/4,100,2,adaptation,0,11,False
164,62,1/4,59/2,101,1,repetition,0,11,False
165,58,1/4,119/4,102,2,repetition,0,11,False
166,53,1/4,30,103,3,match,2,11,False
167,57,1/4,30,103,2,adaptation,1,11,False
168,60,1/4,30,103,1,match,0,11,False
169,62,1/4,121/4,104,0,ornamentation,0,11,False
170,64,1/4,61/2,105,0,adaptation,0,11,False
171,65,1/4,123/4,106,0,ornamentation,0,11,False
172,48,1/4,31,107,3,adaptation,2,11,False
173,55,1/4,31,107,2,adaptation,1,11,False
174,67,1/4,31,107,0,match,0,11,False
175,65,1/4,125/4,108,0,ornamentation,0,11,False
176,67,1/4,63/2,109,0,repetition,0,11,False
177,64,1/4,127/4,110,1,repetition,0,11,False
178,53,1/2,32,111,3,adaptation,3,11,True
179,57,1/2,32,111,2,match,2,11,True
181,65,1/2,32,111,1,match,1,11,True
180,60,1/2,32,111,0,adaptation,0,11,True
182,55,1/2,65/2,112,3,adaptation,2,12,True
183,58,1/2,65/2,112,2,match,1,12,True
184,70,1/2,65/2,112,0,match,0,12,True
185,53,1/4,33,113,3,match,2,12,False
186,60,1/4,33,113,2,match,1,12,False
187,69,1/4,33,113,0,adaptation,0,12,False
188,67,1/4,133/4,114,0,ornamentation,0,12,False
189,53,1/4,67/2,115,3,repetition,2,12,False
190,60,1/4,67/2,115,2,repetition,1,12,False
191,70,1/4,67/2,115,0,repetition,0,12,False
192,69,1/4,135/4,116,0,ornamentation,0,12,False
193,46,1/2,34,117,3,match,2,12,True
194,58,1/2,34,117,2,match,1,12,True
195,70,1/2,34,117,0,match,0,12,True
193,46,1/2,34,117,3,match,2,13,True
194,58,1/2,34,117,2,match,1,13,True
195,70,1/2,34,117,0,match,0,13,True
196,53,1/4,69/2,118,1,ornamentation,0,13,False
197,69,1/4,139/4,119,1,ornamentation,0,13,False
198,46,1/2,35,120,3,repetition,2,13,True
199,58,1/2,35,120,2,repetition,1,13,True
200,65,1/2,35,120,1,match,0,13,True
198,46,1/2,35,120,3,repetition,2,14,True
199,58,1/2,35,120,2,repetition,1,14,True
200,65,1/2,35,120,1,match,0,14,True
201,53,1/4,71/2,121,1,ornamentation,0,14,False
202,63,1/4,143/4,122,1,ficta,0,14,False
203,58,1/2,36,123,3,match,1,14,True
204,62,1/2,36,123,1,match,0,14,True
235,50,1/2,83/2,139,3,adaptation,2,15,True
236,57,1/2,83/2,139,2,adaptation,1,15,True
237,66,1/2,83/2,139,0,ficta,0,15,True
239,58,1/4,42,140,3,match,2,15,False
238,55,1/4,42,140,2,adaptation,1,15,False
240,67,1/4,42,140,0,match,0,15,False
241,69,1/4,169/4,141,0,match,0,15,False
243,58,1/4,85/2,142,3,repetition,2,15,False
242,55,1/4,85/2,142,1,match,1,15,False
244,70,1/4,85/2,142,0,match,0,15,False
245,67,1/4,171/4,143,0,match,0,15,False
247,60,1/4,43,144,3,adaptation,2,15,False
246,53,1/4,43,144,1,match,1,15,False
248,69,1/4,43,144,0,match,0,15,False
249,67,1/4,173/4,145,0,ornamentation,0,15,False
250,53,1/4,87/2,146,1,repetition,1,15,False
251,65,1/4,87/2,146,0,adaptation,0,15,False
252,64,1/4,175/4,147,0,ornamentation,0,15,False
253,55,1/8,44,148,3,adaptation,2,15,True
254,58,1/8,44,148,2,match,1,15,True
255,62,1/8,44,148,0,repetition,0,15,True
252,64,1/4,175/4,147,0,ornamentation,0,16,True
253,55,1/8,44,148,3,adaptation,2,16,False
254,58,1/8,44,148,2,match,1,16,False
255,62,1/8,44,148,0,repetition,0,16,False
256,60,1/8,353/8,149,0,ornamentation,0,16,False
257,62,1/8,177/4,150,0,repetition,0,16,False
