note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
5;57;1/4;9/4;5;3;ornamentation;0;1;True;[non_monotonic]
6;58;1/8;5/2;6;3;repetition;0;1;False;[non_monotonic]
7;57;1/8;21/8;7;3;ornamentation;0;1;False;[non_monotonic]
8;55;1/8;11/4;8;3;ornamentation;0;1;False;[non_monotonic]
9;57;1/8;23/8;9;3;ornamentation;0;1;False;[non_monotonic]
11;58;3/4;3;10;3;match;1;1;True;[non_monotonic]
10;55;3/4;3;10;2;match;0;1;True;[non_monotonic]
120;66;1/4;85/4;71;0;adaptation;0;8;True;[non_monotonic]
121;67;1/8;43/2;72;0;repetition;0;8;False;[non_monotonic]
122;66;1/8;173/8;73;0;ornamentation;0;8;False;[non_monotonic]
123;64;1/8;87/4;74;0;ornamentation;0;8;False;[non_monotonic]
124;66;1/8;175/8;75;0;ornamentation;0;8;False;[non_monotonic]
125;55;1/4;22;76;2;match;2;8;True;[non_monotonic]
126;58;1/4;22;76;1;adaptation;1;8;True;[non_monotonic]
127;67;1/4;22;76;0;match;0;8;True;[non_monotonic]
273;66;1/4;189/4;161;0;ornamentation;0;18;True;[non_monotonic]
274;67;1/8;95/2;162;0;repetition;0;18;False;[non_monotonic]
275;66;1/8;381/8;163;0;ornamentation;0;18;False;[non_monotonic]
276;64;1/8;191/4;164;0;ornamentation;0;18;False;[non_monotonic]
277;66;1/8;383/8;165;0;ornamentation;0;18;False;[non_monotonic]
278;55;1/2;48;166;2;match;2;18;True;[non_monotonic]
279;63;1/2;48;166;1;match;1;18;True;[non_monotonic]
280;67;1/2;48;166;0;match;0;18;True;[non_monotonic]
300;61;1/4;205/4;183;1;ornamentation;0;22;True;[non_monotonic]
301;62;1/8;103/2;184;1;adaptation;0;22;False;[non_monotonic]
302;61;1/8;413/8;185;0;ornamentation;0;22;False;[non_monotonic]
303;59;1/8;207/4;186;0;ornamentation;0;22;False;[non_monotonic]
304;61;1/8;415/8;187;0;ornamentation;0;22;False;[non_monotonic]
305;50;1;52;188;3;match;2;22;True;[non_monotonic]
306;57;1;52;188;1;repetition;1;22;True;[non_monotonic]
307;62;1;52;188;0;adaptation;0;22;True;[non_monotonic]
