output_csv,duration,count,sequence_ids
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,1/16,6,"1,22,38,41,44,51"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,1/8,35,"0,2,4,6,8,10,12,14,15,17,19,21,25,31,33,35,40,43,45,47,50,54,60,64,66,71,74,75,81,82,84,86,88,99,101"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,1/4,62,"3,5,7,9,11,13,16,18,20,23,24,26,27,28,29,30,32,34,36,37,39,42,46,48,49,52,53,55,56,57,58,59,61,62,63,65,67,68,69,70,72,73,76,77,78,79,80,83,85,87,89,90,91,92,93,94,95,96,97,98,100,102"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_fourstep.csv,1/16,5,"1,22,41,44,51"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_fourstep.csv,1/8,13,"0,8,12,17,25,33,35,45,47,71,74,81,82"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_fourstep.csv,1/4,5,"13,63,85,96,102"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_non_chord.csv,1/16,6,"1,22,38,41,44,51"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_non_chord.csv,1/8,8,"2,17,47,64,71,74,86,88"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_non_chord.csv,1/4,2,"7,42"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_raw.csv,1/16,6,"1,11,16,17,19,22"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_raw.csv,1/8,31,"0,2,3,4,5,6,7,8,9,10,12,13,14,15,18,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_raw_fourstep.csv,1/16,5,"1,11,17,19,22"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_raw_fourstep.csv,1/8,13,"0,3,5,8,12,14,15,20,21,27,28,30,31"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_raw_non_chord.csv,1/16,6,"1,11,16,17,19,22"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_raw_non_chord.csv,1/8,7,"8,21,25,27,28,33,34"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-1.csv,1/16,1,3
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-1.csv,1/8,5,"0,1,2,4,5"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-1_fourstep.csv,1/8,2,"1,2"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0.csv,1/16,3,"1,8,10"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0.csv,1/8,19,"0,2,3,4,5,6,7,9,11,12,13,14,15,16,17,18,19,20,21"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0_fourstep.csv,1/16,2,"1,10"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0_fourstep.csv,1/8,5,"0,4,7,11,16"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-2.csv,1/16,1,2
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-2.csv,1/8,3,"0,1,3"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-2_fourstep.csv,1/16,1,2
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-4.csv,1/16,1,5
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-4.csv,1/8,6,"0,1,2,3,4,6"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-4_fourstep.csv,1/16,1,5
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-4_fourstep.csv,1/8,1,2
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-3.csv,1/8,8,"0,1,2,3,4,5,6,7"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-3_fourstep.csv,1/8,2,"5,6"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_voices_merged.csv,1/16,6,"3,7,14,16,30,37"
