output_csv,sequence_length,count,sequence_ids
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,1,1,7
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,2,8,"2,6,27,40,42,50,78,92"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,4,39,"0,1,8,9,12,13,15,17,22,25,32,33,35,39,41,43,44,45,46,47,49,51,56,61,63,70,71,74,79,81,82,85,86,91,94,96,97,100,102"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,5,2,"53,83"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,6,7,"19,21,29,55,64,88,93"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,8,29,"3,4,5,10,11,14,18,26,28,30,31,36,38,48,52,58,60,66,67,68,69,75,76,77,84,87,89,99,101"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,9,1,20
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,10,4,"23,37,54,80"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,12,6,"24,34,57,65,95,98"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,14,1,16
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,16,2,"59,90"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,18,1,62
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,20,1,73
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_abtab.csv,24,1,72
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_fourstep.csv,4,23,"0,1,8,12,13,17,22,25,33,35,41,44,45,47,51,63,71,74,81,82,85,96,102"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_non_chord.csv,1,1,7
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_non_chord.csv,2,2,"2,42"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_non_chord.csv,4,10,"1,17,22,41,44,47,51,71,74,86"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_non_chord.csv,6,2,"64,88"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_abtab_non_chord.csv,8,1,38
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_raw.csv,4,21,"0,1,3,5,7,8,11,12,14,15,17,18,19,20,21,22,27,28,30,31,33"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_raw.csv,6,4,"9,10,25,34"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_raw.csv,8,11,"2,4,6,13,16,24,26,29,32,35,36"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_tab_raw.csv,10,1,23
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_raw_fourstep.csv,4,18,"0,1,3,5,8,11,12,14,15,17,19,20,21,22,27,28,30,31"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_raw_non_chord.csv,4,10,"1,8,11,17,19,21,22,27,28,33"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_raw_non_chord.csv,6,2,"25,34"
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_tab_raw_non_chord.csv,8,1,16
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-1.csv,1,1,4
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-1.csv,3,2,"3,5"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-1.csv,4,3,"0,1,2"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-1_fourstep.csv,4,2,"1,2"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0.csv,1,2,"3,14"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0.csv,2,1,2
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0.csv,3,2,"5,19"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0.csv,4,8,"0,1,4,7,10,11,16,18"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0.csv,5,2,"9,20"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0.csv,7,2,"13,15"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0.csv,8,4,"6,8,17,21"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0.csv,10,1,12
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-0_fourstep.csv,4,7,"0,1,4,7,10,11,16"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-2.csv,3,2,"0,3"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-2.csv,4,1,2
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-2.csv,6,1,1
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-2_fourstep.csv,4,1,2
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-4.csv,1,1,4
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-4.csv,2,1,3
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-4.csv,4,2,"2,5"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-4.csv,8,3,"0,1,6"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-4_fourstep.csv,4,2,"2,5"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-3.csv,1,1,2
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-3.csv,3,3,"1,3,4"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-3.csv,4,2,"5,6"
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-3.csv,5,1,7
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-3.csv,8,1,0
output/932_milano_108_pater_noster_josquin-1/voices/932_milano_108_pater_noster_josquin-1_voice-3_fourstep.csv,4,2,"5,6"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_voices_merged.csv,1,5,"4,9,20,36,41"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_voices_merged.csv,2,2,"8,35"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_voices_merged.csv,3,9,"3,5,11,25,28,31,40,42,43"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_voices_merged.csv,4,16,"0,1,2,6,7,10,13,16,17,22,24,30,34,37,44,45"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_voices_merged.csv,5,3,"15,26,46"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_voices_merged.csv,6,1,29
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_voices_merged.csv,7,2,"19,21"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_voices_merged.csv,8,8,"12,14,23,27,32,33,38,39"
output/932_milano_108_pater_noster_josquin-1/932_milano_108_pater_noster_josquin-1_voices_merged.csv,10,1,18
output/932_milano_108_pater_noster_josquin-1/fourstep/932_milano_108_pater_noster_josquin-1_voices_merged_fourstep.csv,4,14,"1,2,6,7,10,13,16,17,22,30,34,37,44,45"
