note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
10;62;1/8;19/8;6;0;ornamentation;0;1;True
11;64;1/16;5/2;7;0;ornamentation;0;1;False
12;62;1/16;41/16;8;0;ornamentation;0;1;False
13;64;1/16;21/8;9;0;ornamentation;0;1;False
14;65;1/16;43/16;10;0;ornamentation;0;1;False
15;67;1/8;11/4;11;0;ornamentation;0;1;True
14;65;1/16;43/16;10;0;ornamentation;0;2;True
15;67;1/8;11/4;11;0;ornamentation;0;2;False
16;69;1/8;23/8;12;0;ornamentation;0;2;False
17;55;1/4;3;13;2;repetition;2;2;True
18;67;1/4;3;13;1;match;1;2;True
19;70;1/4;3;13;0;match;0;2;True
65;69;1/8;81/8;41;0;ornamentation;0;7;True
66;70;1/4;41/4;42;0;ornamentation;0;7;False
67;43;1/8;21/2;43;5;repetition;2;7;True
68;58;1/8;21/2;43;4;repetition;1;7;True
69;69;1/8;21/2;43;0;repetition;0;7;True
188;50;1/2;27;111;5;match;4;17;True
189;53;1/2;27;111;4;match;3;17;True
190;65;1/2;27;111;3;match;2;17;True
188;50;1/2;27;111;1;match;1;17;True
191;69;1/2;27;111;0;match;0;17;True
192;62;1/8;55/2;112;3;adaptation;0;17;False
193;64;1/8;221/8;113;0;ornamentation;0;17;False
194;65;1/8;111/4;114;0;ornamentation;0;17;False
195;67;1/8;223/8;115;0;ornamentation;0;17;False
196;50;1/4;28;116;5;repetition;3;17;True
197;53;1/4;28;116;2;match;2;17;True
198;62;1/4;28;116;1;match;1;17;True
199;69;1/4;28;116;0;repetition;0;17;True
254;66;1/8;281/8;146;2;ornamentation;0;22;True
255;67;1/16;141/4;147;2;ornamentation;0;22;False
256;66;1/16;565/16;148;2;ornamentation;0;22;False
257;64;1/16;283/8;149;2;ornamentation;0;22;False
258;66;1/16;567/16;150;2;ornamentation;0;22;False
259;67;1/4;71/2;151;2;match;0;22;True
545;45;1/2;76;294;5;match;3;38;True
548;61;1/2;76;294;3;ficta;2;38;True
546;52;1/2;76;294;2;match;1;38;True
547;57;1/2;76;294;1;match;0;38;True
549;59;1/16;153/2;295;0;ornamentation;0;38;False
550;57;1/16;1225/16;296;0;ornamentation;0;38;False
551;59;1/16;613/8;297;0;ornamentation;0;38;False
552;61;1/16;1227/16;298;0;ornamentation;0;38;False
553;62;1/16;307/4;299;0;ornamentation;0;38;False
554;64;1/16;1229/16;300;0;ornamentation;0;38;False
555;65;1/16;615/8;301;0;ornamentation;0;38;False
556;67;1/16;1231/16;302;0;ornamentation;0;38;False
557;45;1;77;303;5;repetition;4;38;True
560;61;1;77;303;3;adaptation;3;38;True
558;52;1;77;303;2;repetition;2;38;True
559;57;1;77;303;1;repetition;1;38;True
561;69;1;77;303;0;match;0;38;True
582;58;1/8;657/8;315;3;ornamentation;0;41;True
583;60;1/16;329/4;316;3;repetition;0;41;False
584;58;1/16;1317/16;317;1;ornamentation;0;41;False
585;57;1/16;659/8;318;1;ornamentation;0;41;False
586;58;1/16;1319/16;319;1;ornamentation;0;41;False
587;55;1/4;165/2;320;1;match;0;41;True
586;58;1/16;1319/16;319;1;ornamentation;0;42;True
587;55;1/4;165/2;320;1;match;0;42;False
588;58;1/4;331/4;321;1;ornamentation;0;42;False
589;50;1/8;83;322;2;match;2;42;True
590;57;1/8;83;322;1;match;1;42;True
591;67;1/8;83;322;0;repetition;0;42;True
598;62;1/4;84;327;2;match;1;44;True
597;55;1/4;84;327;1;match;0;44;True
599;64;1/16;337/4;328;0;ornamentation;0;44;False
600;62;1/16;1349/16;329;0;ornamentation;0;44;False
601;64;1/16;675/8;330;0;ornamentation;0;44;False
602;65;1/16;1351/16;331;0;ornamentation;0;44;False
603;55;1/8;169/2;332;1;repetition;1;44;True
604;67;1/8;169/2;332;0;adaptation;0;44;True
629;51;1/2;89;346;5;match;2;47;True
630;55;1/2;89;346;4;match;1;47;True
631;58;1/2;89;346;2;match;0;47;True
632;60;1/8;179/2;347;2;match;0;47;False
633;58;1/8;717/8;348;4;ornamentation;0;47;False
634;57;1/8;359/4;349;4;adaptation;0;47;False
635;58;1/8;719/8;350;1;ornamentation;0;47;False
636;51;1/4;90;351;5;repetition;2;47;True
637;55;1/4;90;351;4;match;1;47;True
638;60;1/4;90;351;1;match;0;47;True
715;58;1/8;821/8;384;4;ornamentation;0;51;True
716;60;1/16;411/4;385;4;ornamentation;0;51;False
717;58;1/16;1645/16;386;4;ornamentation;0;51;False
718;57;1/16;823/8;387;4;ornamentation;0;51;False
719;55;1/16;1647/16;388;4;ornamentation;0;51;False
720;54;1/4;103;389;4;adaptation;1;51;True
721;57;1/4;103;389;2;match;0;51;True
960;55;1/4;138;513;4;match;1;64;True
961;59;1/4;138;513;2;ficta;0;64;True
962;43;1/8;553/4;514;3;ornamentation;0;64;False
963;57;1/8;1107/8;515;3;ornamentation;0;64;False
964;59;1/8;277/2;516;3;adaptation;0;64;False
965;60;1/8;1109/8;517;2;ornamentation;0;64;False
966;62;1/8;555/4;518;2;ornamentation;0;64;False
967;59;1/8;1111/8;519;2;ornamentation;0;64;False
968;45;1/4;139;520;5;match;2;64;True
969;53;1/4;139;520;4;match;1;64;True
970;60;1/4;139;520;2;match;0;64;True
1138;50;1/2;162;589;5;match;3;71;True
1139;53;1/2;162;589;2;match;2;71;True
1138;50;1/2;162;589;1;match;1;71;True
1140;69;1/2;162;589;0;match;0;71;True
1141;65;1/8;325/2;590;3;match;0;71;False
1142;64;1/8;1301/8;591;3;ornamentation;0;71;False
1143;65;1/8;651/4;592;3;repetition;0;71;False
1144;67;1/8;1303/8;593;0;ornamentation;0;71;False
1145;50;1/4;163;594;5;repetition;1;71;True
1146;69;1/4;163;594;0;match;0;71;True
1233;43;1/2;175;640;5;match;4;74;True
1235;62;1/2;175;640;3;match;3;74;True
1235;62;1/2;175;640;2;match;2;74;True
1234;55;1/2;175;640;1;match;1;74;True
1236;71;1/2;175;640;0;ficta;0;74;True
1237;67;1/8;351/2;641;3;ornamentation;0;74;False
1238;65;1/8;1405/8;642;3;ornamentation;0;74;False
1239;64;1/8;703/4;643;3;ornamentation;0;74;False
1240;62;1/8;1407/8;644;3;ornamentation;0;74;False
1242;64;1/2;176;645;3;match;1;74;True
1241;55;1/2;176;645;1;match;0;74;True
1390;50;1/2;197;724;5;match;3;86;True
1391;53;1/2;197;724;4;match;2;86;True
1392;57;1/2;197;724;2;match;1;86;True
1393;69;1/2;197;724;0;match;0;86;True
1394;62;1/8;395/2;725;0;match;0;86;False
1395;64;1/8;1581/8;726;0;ornamentation;0;86;False
1396;65;1/8;791/4;727;0;ornamentation;0;86;False
1397;62;1/8;1583/8;728;0;ornamentation;0;86;False
1398;48;1/4;198;729;5;match;3;86;True
1399;55;1/4;198;729;4;match;2;86;True
1400;60;1/4;198;729;2;match;1;86;True
1401;64;1/4;198;729;0;match;0;86;True
1419;43;1/4;201;739;5;match;4;88;True
1420;55;1/4;201;739;4;match;3;88;True
1421;62;1/4;201;739;3;repetition;2;88;True
1420;55;1/4;201;739;2;match;1;88;True
1422;67;1/4;201;739;0;match;0;88;True
1423;62;1/8;805/4;740;0;ornamentation;0;88;False
