note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
477;57;1/2;67;263;4;match;1;2;True;[non_monotonic]
480;58;1/8;135/2;264;4;match;0;2;False;[non_monotonic]
481;57;1/8;541/8;265;4;ornamentation;0;2;False;[non_monotonic]
482;58;1/8;271/4;266;4;ornamentation;0;2;False;[non_monotonic]
483;60;1/8;543/8;267;4;ornamentation;0;2;False;[non_monotonic]
485;58;1/4;68;268;4;repetition;1;2;True;[non_monotonic]
715;58;1/8;821/8;384;4;ornamentation;0;5;True;[monotonic]
716;60;1/16;411/4;385;4;ornamentation;0;5;False;[monotonic]
717;58;1/16;1645/16;386;4;ornamentation;0;5;False;[monotonic]
718;57;1/16;823/8;387;4;ornamentation;0;5;False;[monotonic]
719;55;1/16;1647/16;388;4;ornamentation;0;5;False;[monotonic]
720;54;1/4;103;389;4;adaptation;1;5;True;[monotonic]
