note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
5,58,1/2,3/2,2,4,repetition,1,0,True
4,55,1/2,3/2,2,2,repetition,0,0,True
6,53,1/4,2,3,4,match,1,0,False
7,57,1/4,2,3,2,match,0,0,False
8,55,1/4,9/4,4,4,ornamentation,0,0,False
9,53,1/4,5/2,5,4,ornamentation,0,0,False
10,52,1/4,11/4,6,4,ornamentation,0,0,False
12,53,1/4,3,7,4,repetition,1,0,False
11,50,1/4,3,7,2,match,0,0,False
13,52,1/4,13/4,8,2,ornamentation,0,0,False
14,53,1/4,7/2,9,2,ornamentation,0,0,False
15,50,1/4,15/4,10,2,ornamentation,0,0,False
17,55,1/4,4,11,4,match,1,0,False
16,52,1/4,4,11,2,match,0,0,False
18,50,1/4,17/4,12,2,ornamentation,0,0,False
19,52,1/4,9/2,13,2,ornamentation,0,0,False
20,53,1/4,19/4,14,2,ornamentation,0,0,False
22,55,1/4,5,15,4,repetition,1,0,False
21,52,1/4,5,15,2,repetition,0,0,False
23,57,1/16,21/4,16,2,ornamentation,0,0,True
22,55,1/4,5,15,4,repetition,1,1,True
21,52,1/4,5,15,2,repetition,0,1,True
23,57,1/16,21/4,16,2,ornamentation,0,1,False
24,55,1/16,85/16,17,2,ornamentation,0,1,False
25,53,1/16,43/8,18,2,ornamentation,0,1,False
26,52,1/16,87/16,19,2,ornamentation,0,1,False
27,53,1/8,11/2,20,2,match,0,1,True
26,52,1/16,87/16,19,2,ornamentation,0,2,True
27,53,1/8,11/2,20,2,match,0,2,False
28,50,1/8,45/8,21,2,ornamentation,0,2,False
29,52,1/8,23/4,22,2,ornamentation,0,2,False
30,53,1/8,47/8,23,2,ornamentation,0,2,False
31,43,1/4,6,24,5,match,4,2,True
32,55,1/4,6,24,4,match,3,2,True
33,58,1/4,6,24,3,match,2,2,True
32,55,1/4,6,24,2,match,1,2,True
32,55,1/4,6,24,1,match,0,2,True
30,53,1/8,47/8,23,2,ornamentation,0,3,True
31,43,1/4,6,24,5,match,4,3,False
32,55,1/4,6,24,4,match,3,3,False
33,58,1/4,6,24,3,match,2,3,False
32,55,1/4,6,24,2,match,1,3,False
32,55,1/4,6,24,1,match,0,3,False
34,54,1/4,25/4,25,3,ornamentation,0,3,False
35,55,1/4,13/2,26,3,ornamentation,0,3,False
36,57,1/4,27/4,27,3,ornamentation,0,3,False
37,43,1/4,7,28,5,repetition,3,3,False
40,62,1/4,7,28,4,match,2,3,False
39,58,1/4,7,28,3,repetition,1,3,False
38,55,1/4,7,28,2,repetition,0,3,False
41,45,1/4,29/4,29,5,ornamentation,0,3,False
42,46,1/4,15/2,30,5,ornamentation,0,3,False
43,48,1/4,31/4,31,5,ornamentation,0,3,False
44,50,1/4,8,32,5,match,3,3,False
47,62,1/4,8,32,4,repetition,2,3,False
45,53,1/4,8,32,3,match,1,3,False
46,57,1/4,8,32,1,match,0,3,False
48,60,1/4,33/4,33,4,ornamentation,0,3,False
49,62,1/4,17/2,34,4,repetition,0,3,False
50,64,1/4,35/4,35,4,ornamentation,0,3,False
51,50,1/8,9,36,5,match,3,3,True
54,65,1/8,9,36,4,match,2,3,True
52,53,1/8,9,36,3,repetition,1,3,True
53,57,1/8,9,36,1,match,0,3,True
50,64,1/4,35/4,35,4,ornamentation,0,4,True
51,50,1/8,9,36,5,match,3,4,False
54,65,1/8,9,36,4,match,2,4,False
52,53,1/8,9,36,3,repetition,1,4,False
53,57,1/8,9,36,1,match,0,4,False
55,69,1/8,73/8,37,4,ornamentation,0,4,False
56,71,1/8,37/4,38,4,ornamentation,0,4,False
57,69,1/8,75/8,39,4,ornamentation,0,4,False
58,67,1/8,19/2,40,4,adaptation,0,4,False
59,65,1/8,77/8,41,4,ornamentation,0,4,False
60,64,1/8,39/4,42,4,ornamentation,0,4,False
61,62,1/8,79/8,43,4,ornamentation,0,4,False
62,48,1,10,44,5,match,3,4,True
65,64,1,10,44,4,match,2,4,True
63,55,1,10,44,3,match,1,4,True
64,60,1,10,44,1,match,0,4,True
66,48,1/2,11,45,5,repetition,3,5,True
69,64,1/2,11,45,4,repetition,2,5,True
67,55,1/2,11,45,3,repetition,1,5,True
68,60,1/2,11,45,1,repetition,0,5,True
70,46,1/4,23/2,46,5,match,0,5,False
71,45,1/4,47/4,47,5,ornamentation,0,5,False
72,43,1,12,48,5,match,5,5,True
75,62,1,12,48,4,match,4,5,True
73,55,1,12,48,3,match,3,5,True
73,55,1,12,48,2,match,2,5,True
74,58,1,12,48,1,match,1,5,True
76,74,1,12,48,0,match,0,5,True
82,43,1/2,27/2,50,5,repetition,4,6,True
85,62,1/2,27/2,50,4,repetition,3,6,True
83,55,1/2,27/2,50,2,repetition,2,6,True
84,58,1/2,27/2,50,1,repetition,1,6,True
86,74,1/2,27/2,50,0,repetition,0,6,True
87,50,1/4,14,51,5,match,3,6,False
89,62,1/4,14,51,4,repetition,2,6,False
88,53,1/4,14,51,2,match,1,6,False
90,69,1/4,14,51,0,match,0,6,False
91,64,1/4,57/4,52,4,ornamentation,0,6,False
92,65,1/4,29/2,53,4,adaptation,0,6,False
93,67,1/4,59/4,54,3,ornamentation,0,6,False
94,50,1/4,15,55,5,match,3,6,False
96,65,1/4,15,55,3,match,2,6,False
95,53,1/4,15,55,2,match,1,6,False
97,69,1/4,15,55,0,match,0,6,False
98,62,1/8,61/4,56,3,ornamentation,0,6,True
94,50,1/4,15,55,5,match,3,7,True
96,65,1/4,15,55,3,match,2,7,True
95,53,1/4,15,55,2,match,1,7,True
97,69,1/4,15,55,0,match,0,7,True
98,62,1/8,61/4,56,3,ornamentation,0,7,False
99,64,1/8,123/8,57,3,ornamentation,0,7,False
100,65,1/8,31/2,58,3,repetition,0,7,False
101,67,1/8,125/8,59,0,ornamentation,0,7,False
102,69,1/8,63/4,60,0,ornamentation,0,7,False
103,71,1/8,127/8,61,0,ornamentation,0,7,False
104,48,1/4,16,62,5,match,3,7,True
106,64,1/4,16,62,3,match,2,7,True
105,55,1/4,16,62,2,match,1,7,True
107,72,1/4,16,62,0,match,0,7,True
103,71,1/8,127/8,61,0,ornamentation,0,8,True
104,48,1/4,16,62,5,match,3,8,False
106,64,1/4,16,62,3,match,2,8,False
105,55,1/4,16,62,2,match,1,8,False
107,72,1/4,16,62,0,match,0,8,False
108,53,1/4,65/4,63,5,ornamentation,0,8,False
109,52,1/4,33/2,64,5,ornamentation,0,8,False
110,50,1/4,67/4,65,5,ornamentation,0,8,False
111,48,1/2,17,66,5,repetition,3,8,True
113,64,1/2,17,66,3,repetition,2,8,True
112,55,1/2,17,66,2,repetition,1,8,True
114,72,1/2,17,66,0,repetition,0,8,True
111,48,1/2,17,66,5,repetition,3,9,True
113,64,1/2,17,66,3,repetition,2,9,True
112,55,1/2,17,66,2,repetition,1,9,True
114,72,1/2,17,66,0,repetition,0,9,True
115,46,1/4,35/2,67,5,match,0,9,False
116,45,1/4,71/4,68,5,ornamentation,0,9,False
117,43,1/4,18,69,5,match,3,9,False
119,62,1/4,18,69,3,match,2,9,False
118,55,1/4,18,69,2,match,1,9,False
120,70,1/4,18,69,0,match,0,9,False
121,64,1/8,73/4,70,0,ornamentation,0,9,True
117,43,1/4,18,69,5,match,3,10,True
119,62,1/4,18,69,3,match,2,10,True
118,55,1/4,18,69,2,match,1,10,True
120,70,1/4,18,69,0,match,0,10,True
121,64,1/8,73/4,70,0,ornamentation,0,10,False
122,65,1/8,147/8,71,0,ornamentation,0,10,False
123,67,1/8,37/2,72,0,ornamentation,0,10,False
124,69,1/8,149/8,73,0,ornamentation,0,10,False
125,70,1/8,75/4,74,0,ornamentation,0,10,False
126,72,1/8,151/8,75,0,ornamentation,0,10,False
127,43,1/8,19,76,5,match,4,10,False
129,62,1/8,19,76,4,match,3,10,False
128,55,1/8,19,76,2,match,2,10,False
129,62,1/8,19,76,1,match,1,10,False
130,70,1/8,19,76,0,match,0,10,False
131,54,1/8,153/8,77,4,ornamentation,0,10,False
132,55,1/8,77/4,78,4,ornamentation,0,10,False
133,57,1/8,155/8,79,4,ornamentation,0,10,False
134,58,1/8,39/2,80,4,ornamentation,0,10,False
135,60,1/8,157/8,81,4,ornamentation,0,10,False
136,62,1/8,79/4,82,4,ornamentation,0,10,False
137,64,1/8,159/8,83,4,ornamentation,0,10,False
138,50,1/4,20,84,5,match,3,10,True
140,65,1/4,20,84,4,match,2,10,True
139,62,1/4,20,84,1,match,1,10,True
141,69,1/4,20,84,0,match,0,10,True
137,64,1/8,159/8,83,4,ornamentation,0,11,True
138,50,1/4,20,84,5,match,3,11,False
140,65,1/4,20,84,4,match,2,11,False
139,62,1/4,20,84,1,match,1,11,False
141,69,1/4,20,84,0,match,0,11,False
142,53,1/4,81/4,85,2,ornamentation,0,11,False
143,55,1/4,41/2,86,2,ornamentation,0,11,False
144,57,1/4,83/4,87,2,ornamentation,0,11,False
145,46,1/4,21,88,5,match,4,11,False
147,62,1/4,21,88,4,match,3,11,False
146,55,1/4,21,88,2,match,2,11,False
147,62,1/4,21,88,1,match,1,11,False
148,70,1/4,21,88,0,match,0,11,False
149,69,1/4,85/4,89,4,ornamentation,0,11,False
