note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
22,55,1/4,5,15,4,repetition,1,0,True
21,52,1/4,5,15,2,repetition,0,0,True
23,57,1/16,21/4,16,2,ornamentation,0,0,False
24,55,1/16,85/16,17,2,ornamentation,0,0,False
25,53,1/16,43/8,18,2,ornamentation,0,0,False
26,52,1/16,87/16,19,2,ornamentation,0,0,False
27,53,1/8,11/2,20,2,match,0,0,True
26,52,1/16,87/16,19,2,ornamentation,0,1,True
27,53,1/8,11/2,20,2,match,0,1,False
28,50,1/8,45/8,21,2,ornamentation,0,1,False
29,52,1/8,23/4,22,2,ornamentation,0,1,False
30,53,1/8,47/8,23,2,ornamentation,0,1,False
31,43,1/4,6,24,5,match,4,1,True
32,55,1/4,6,24,4,match,3,1,True
33,58,1/4,6,24,3,match,2,1,True
32,55,1/4,6,24,2,match,1,1,True
32,55,1/4,6,24,1,match,0,1,True
50,64,1/4,35/4,35,4,ornamentation,0,2,True
51,50,1/8,9,36,5,match,3,2,False
54,65,1/8,9,36,4,match,2,2,False
52,53,1/8,9,36,3,repetition,1,2,False
53,57,1/8,9,36,1,match,0,2,False
55,69,1/8,73/8,37,4,ornamentation,0,2,False
56,71,1/8,37/4,38,4,ornamentation,0,2,False
57,69,1/8,75/8,39,4,ornamentation,0,2,False
58,67,1/8,19/2,40,4,adaptation,0,2,False
59,65,1/8,77/8,41,4,ornamentation,0,2,False
60,64,1/8,39/4,42,4,ornamentation,0,2,False
61,62,1/8,79/8,43,4,ornamentation,0,2,False
62,48,1,10,44,5,match,3,2,True
65,64,1,10,44,4,match,2,2,True
63,55,1,10,44,3,match,1,2,True
64,60,1,10,44,1,match,0,2,True
94,50,1/4,15,55,5,match,3,3,True
96,65,1/4,15,55,3,match,2,3,True
95,53,1/4,15,55,2,match,1,3,True
97,69,1/4,15,55,0,match,0,3,True
98,62,1/8,61/4,56,3,ornamentation,0,3,False
99,64,1/8,123/8,57,3,ornamentation,0,3,False
100,65,1/8,31/2,58,3,repetition,0,3,False
101,67,1/8,125/8,59,0,ornamentation,0,3,False
102,69,1/8,63/4,60,0,ornamentation,0,3,False
103,71,1/8,127/8,61,0,ornamentation,0,3,False
104,48,1/4,16,62,5,match,3,3,True
106,64,1/4,16,62,3,match,2,3,True
105,55,1/4,16,62,2,match,1,3,True
107,72,1/4,16,62,0,match,0,3,True
117,43,1/4,18,69,5,match,3,4,True
119,62,1/4,18,69,3,match,2,4,True
118,55,1/4,18,69,2,match,1,4,True
120,70,1/4,18,69,0,match,0,4,True
121,64,1/8,73/4,70,0,ornamentation,0,4,False
122,65,1/8,147/8,71,0,ornamentation,0,4,False
123,67,1/8,37/2,72,0,ornamentation,0,4,False
124,69,1/8,149/8,73,0,ornamentation,0,4,False
125,70,1/8,75/4,74,0,ornamentation,0,4,False
126,72,1/8,151/8,75,0,ornamentation,0,4,False
127,43,1/8,19,76,5,match,4,4,False
129,62,1/8,19,76,4,match,3,4,False
128,55,1/8,19,76,2,match,2,4,False
129,62,1/8,19,76,1,match,1,4,False
130,70,1/8,19,76,0,match,0,4,False
131,54,1/8,153/8,77,4,ornamentation,0,4,False
132,55,1/8,77/4,78,4,ornamentation,0,4,False
133,57,1/8,155/8,79,4,ornamentation,0,4,False
134,58,1/8,39/2,80,4,ornamentation,0,4,False
135,60,1/8,157/8,81,4,ornamentation,0,4,False
136,62,1/8,79/4,82,4,ornamentation,0,4,False
137,64,1/8,159/8,83,4,ornamentation,0,4,False
138,50,1/4,20,84,5,match,3,4,True
140,65,1/4,20,84,4,match,2,4,True
139,62,1/4,20,84,1,match,1,4,True
141,69,1/4,20,84,0,match,0,4,True
182,57,1/4,107/4,105,2,ornamentation,0,5,True
183,46,1/8,27,106,5,match,4,5,False
185,62,1/8,27,106,3,match,3,5,False
184,55,1/8,27,106,2,match,2,5,False
185,62,1/8,27,106,1,match,1,5,False
186,70,1/8,27,106,0,match,0,5,False
187,69,1/8,217/8,107,0,ornamentation,0,5,False
188,70,1/8,109/4,108,0,ornamentation,0,5,False
189,72,1/8,219/8,109,0,ornamentation,0,5,False
