note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
22;55;1/4;5;15;4;repetition;1;0;True;[monotonic]
21;52;1/4;5;15;2;repetition;0;0;True;[monotonic]
23;57;1/16;21/4;16;2;ornamentation;0;0;False;[monotonic]
24;55;1/16;85/16;17;2;ornamentation;0;0;False;[monotonic]
25;53;1/16;43/8;18;2;ornamentation;0;0;False;[monotonic]
26;52;1/16;87/16;19;2;ornamentation;0;0;False;[monotonic]
27;53;1/8;11/2;20;2;match;0;0;True;[monotonic]
182;57;1/4;107/4;105;2;ornamentation;0;5;True;[non_monotonic_chords]
183;46;1/8;27;106;5;match;4;5;False;[non_monotonic_chords]
185;62;1/8;27;106;3;match;3;5;False;[non_monotonic_chords]
184;55;1/8;27;106;2;match;2;5;False;[non_monotonic_chords]
185;62;1/8;27;106;1;match;1;5;False;[non_monotonic_chords]
186;70;1/8;27;106;0;match;0;5;False;[non_monotonic_chords]
187;69;1/8;217/8;107;0;ornamentation;0;5;False;[non_monotonic_chords]
188;70;1/8;109/4;108;0;ornamentation;0;5;False;[non_monotonic_chords]
189;72;1/8;219/8;109;0;ornamentation;0;5;False;[non_monotonic_chords]
190;70;1/4;55/2;110;0;ornamentation;0;5;True;[non_monotonic_chords]
241;50;1/4;35;139;5;repetition;3;7;True;[monotonic]
243;57;1/4;35;139;4;repetition;2;7;True;[monotonic]
244;62;1/4;35;139;3;repetition;1;7;True;[monotonic]
242;53;1/4;35;139;2;match;0;7;True;[monotonic]
245;58;1/16;141/4;140;1;ornamentation;0;7;False;[monotonic]
246;57;1/16;565/16;141;1;ornamentation;0;7;False;[monotonic]
247;55;1/16;283/8;142;1;ornamentation;0;7;False;[monotonic]
248;53;1/16;567/16;143;1;ornamentation;0;7;False;[monotonic]
249;55;1/8;71/2;144;1;ornamentation;0;7;True;[monotonic]
248;53;1/16;567/16;143;1;ornamentation;0;8;True;[non_monotonic]
249;55;1/8;71/2;144;1;ornamentation;0;8;False;[non_monotonic]
250;53;1/8;285/8;145;1;ornamentation;0;8;False;[non_monotonic]
251;55;1/8;143/4;146;1;ornamentation;0;8;False;[non_monotonic]
252;57;1/8;287/8;147;1;ornamentation;0;8;False;[non_monotonic]
253;43;1/4;36;148;5;match;4;8;True;[non_monotonic]
254;55;1/4;36;148;4;match;3;8;True;[non_monotonic]
256;62;1/4;36;148;3;repetition;2;8;True;[non_monotonic]
254;55;1/4;36;148;2;match;1;8;True;[non_monotonic]
255;58;1/4;36;148;1;match;0;8;True;[non_monotonic]
316;55;1/2;87/2;182;1;match;0;10;True;[non_monotonic_chords]
317;55;1/8;44;183;5;match;3;10;False;[non_monotonic_chords]
319;62;1/8;44;183;4;match;2;10;False;[non_monotonic_chords]
318;58;1/8;44;183;1;match;1;10;False;[non_monotonic_chords]
320;70;1/8;44;183;0;match;0;10;False;[non_monotonic_chords]
321;69;1/8;353/8;184;0;ornamentation;0;10;False;[non_monotonic_chords]
322;70;1/8;177/4;185;0;ornamentation;0;10;False;[non_monotonic_chords]
