note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
21;52;1/4;5;15;2;repetition;0;0;True;0;[monotonic]
23;57;1/16;21/4;16;2;ornamentation;0;0;False;0;[monotonic]
24;55;1/16;85/16;17;2;ornamentation;0;0;False;0;[monotonic]
25;53;1/16;43/8;18;2;ornamentation;0;0;False;0;[monotonic]
26;52;1/16;87/16;19;2;ornamentation;0;0;False;0;[monotonic]
27;53;1/8;11/2;20;2;match;0;0;True;0;[monotonic]
748;53;1/2;213/2;434;4;match;1;9;True;2;[non_monotonic]
750;55;1/8;107;435;4;match;1;9;False;2;[non_monotonic]
751;53;1/8;857/8;436;4;ornamentation;0;9;False;2;[non_monotonic]
752;55;1/8;429/4;437;4;ornamentation;0;9;False;2;[non_monotonic]
753;57;1/8;859/8;438;4;ornamentation;0;9;False;2;[non_monotonic]
754;55;1/4;215/2;439;4;repetition;0;9;True;2;[non_monotonic]
237;62;1/4;34;135;1;match;0;12;True;0;[monotonic]
245;58;1/16;141/4;140;1;ornamentation;0;12;False;0;[monotonic]
246;57;1/16;565/16;141;1;ornamentation;0;12;False;0;[monotonic]
247;55;1/16;283/8;142;1;ornamentation;0;12;False;0;[monotonic]
248;53;1/16;567/16;143;1;ornamentation;0;12;False;0;[monotonic]
249;55;1/8;71/2;144;1;ornamentation;0;12;True;0;[monotonic]
248;53;1/16;567/16;143;1;ornamentation;0;13;True;1;[non_monotonic]
249;55;1/8;71/2;144;1;ornamentation;0;13;False;1;[non_monotonic]
250;53;1/8;285/8;145;1;ornamentation;0;13;False;1;[non_monotonic]
251;55;1/8;143/4;146;1;ornamentation;0;13;False;1;[non_monotonic]
252;57;1/8;287/8;147;1;ornamentation;0;13;False;1;[non_monotonic]
255;58;1/4;36;148;1;match;0;13;True;1;[non_monotonic]
616;65;1/2;85;358;1;match;0;14;True;2;[non_monotonic]
619;62;1/8;86;360;1;match;0;14;False;2;[non_monotonic]
620;60;1/8;689/8;361;1;ornamentation;0;14;False;2;[non_monotonic]
621;62;1/8;345/4;362;1;ornamentation;0;14;False;2;[non_monotonic]
622;64;1/8;691/8;363;1;ornamentation;0;14;False;2;[non_monotonic]
623;65;1/4;173/2;364;1;match;0;14;True;2;[non_monotonic]
179;69;1/4;26;102;0;match;0;22;True;2;[non_monotonic]
186;70;1/8;27;106;0;match;0;22;False;2;[non_monotonic]
187;69;1/8;217/8;107;0;ornamentation;0;22;False;2;[non_monotonic]
188;70;1/8;109/4;108;0;ornamentation;0;22;False;2;[non_monotonic]
189;72;1/8;219/8;109;0;ornamentation;0;22;False;2;[non_monotonic]
190;70;1/4;55/2;110;0;ornamentation;0;22;True;2;[non_monotonic]
315;70;1/2;43;181;0;match;0;24;True;4;[non_monotonic]
320;70;1/8;44;183;0;match;0;24;False;4;[non_monotonic]
321;69;1/8;353/8;184;0;ornamentation;0;24;False;4;[non_monotonic]
322;70;1/8;177/4;185;0;ornamentation;0;24;False;4;[non_monotonic]
323;72;1/8;355/8;186;0;ornamentation;0;24;False;4;[non_monotonic]
324;74;1/4;89/2;187;0;match;0;24;True;4;[non_monotonic]
552;67;1/8;617/8;315;0;ornamentation;0;27;True;7;[non_monotonic]
553;69;1/16;309/4;316;0;ornamentation;0;27;False;7;[non_monotonic]
554;67;1/16;1237/16;317;0;ornamentation;0;27;False;7;[non_monotonic]
555;69;1/16;619/8;318;0;ornamentation;0;27;False;7;[non_monotonic]
556;70;1/16;1239/16;319;0;ornamentation;0;27;False;7;[non_monotonic]
557;69;1/8;155/2;320;0;repetition;0;27;True;7;[non_monotonic]
601;61;1/4;333/4;349;0;ornamentation;0;30;True;10;[non_monotonic]
602;62;1/8;167/2;350;0;repetition;0;30;False;10;[non_monotonic]
603;61;1/8;669/8;351;0;ornamentation;0;30;False;10;[non_monotonic]
604;59;1/8;335/4;352;0;ornamentation;0;30;False;10;[non_monotonic]
605;61;1/8;671/8;353;0;ornamentation;0;30;False;10;[non_monotonic]
608;62;1/4;84;354;0;match;0;30;True;10;[non_monotonic]
988;66;1/8;1117/8;552;0;ornamentation;0;35;True;15;[non_monotonic]
989;67;1/16;559/4;553;0;ornamentation;0;35;False;15;[non_monotonic]
990;66;1/16;2237/16;554;0;ornamentation;0;35;False;15;[non_monotonic]
991;64;1/16;1119/8;555;0;ornamentation;0;35;False;15;[non_monotonic]
992;66;1/16;2239/16;556;0;ornamentation;0;35;False;15;[non_monotonic]
996;67;1/4;140;557;0;match;0;35;True;15;[non_monotonic]
