note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
50,64,1/4,35/4,35,4,ornamentation,0,0,True
54,65,1/8,9,36,4,match,2,0,False
55,69,1/8,73/8,37,4,ornamentation,0,0,False
56,71,1/8,37/4,38,4,ornamentation,0,0,False
57,69,1/8,75/8,39,4,ornamentation,0,0,False
58,67,1/8,19/2,40,4,adaptation,0,0,False
59,65,1/8,77/8,41,4,ornamentation,0,0,False
60,64,1/8,39/4,42,4,ornamentation,0,0,False
61,62,1/8,79/8,43,4,ornamentation,0,0,False
65,64,1,10,44,4,match,2,0,True
92,65,1/4,29/2,53,4,adaptation,0,1,True
129,62,1/8,19,76,4,match,3,1,False
131,54,1/8,153/8,77,4,ornamentation,0,1,False
132,55,1/8,77/4,78,4,ornamentation,0,1,False
133,57,1/8,155/8,79,4,ornamentation,0,1,False
134,58,1/8,39/2,80,4,ornamentation,0,1,False
135,60,1/8,157/8,81,4,ornamentation,0,1,False
136,62,1/8,79/4,82,4,ornamentation,0,1,False
137,64,1/8,159/8,83,4,ornamentation,0,1,False
140,65,1/4,20,84,4,match,2,1,True
748,53,1/2,213/2,434,4,match,1,2,True
750,55,1/8,107,435,4,match,1,2,False
751,53,1/8,857/8,436,4,ornamentation,0,2,False
752,55,1/8,429/4,437,4,ornamentation,0,2,False
753,57,1/8,859/8,438,4,ornamentation,0,2,False
754,55,1/4,215/2,439,4,repetition,0,2,True
1019,53,1/4,571/4,565,4,match,0,3,True
1021,55,1/8,143,566,4,match,2,3,False
1028,55,1/8,287/2,570,4,match,1,3,False
1030,60,1/8,1149/8,571,4,ornamentation,0,3,False
1031,58,1/8,575/4,572,4,ornamentation,0,3,False
1032,57,1/8,1151/8,573,4,ornamentation,0,3,False
1034,55,1/4,144,574,4,match,2,3,True
