output_csv,sequence_length,count,sequence_ids
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,1,16,"26,27,28,29,30,31,32,33,64,65,66,67,69,70,71,72"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,2,15,"2,3,8,9,16,25,35,36,58,68,73,83,92,95,105"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,4,30,"6,10,12,13,17,20,22,23,24,34,39,40,44,45,47,51,53,57,61,62,74,84,86,87,88,91,93,94,96,98"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,5,3,"18,59,104"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,6,14,"0,11,19,21,37,38,52,54,55,60,79,97,99,101"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,8,11,"5,15,43,46,49,75,77,81,82,100,102"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,9,1,78
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,10,3,"85,89,90"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,12,1,48
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,13,1,1
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,14,2,"14,41"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,16,3,"4,42,80"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,20,2,"63,76"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,22,1,50
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,24,1,7
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,29,1,56
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,30,1,106
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab.csv,44,1,103
output/933_milano_109_stabat_mater_dolorosa_josquin/fourstep/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab_fourstep.csv,4,17,"6,17,20,22,24,39,40,45,51,53,57,61,74,88,93,94,96"
output/933_milano_109_stabat_mater_dolorosa_josquin/fourstep/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab_non_chord.csv,1,16,"26,27,28,29,30,31,32,33,64,65,66,67,69,70,71,72"
output/933_milano_109_stabat_mater_dolorosa_josquin/fourstep/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab_non_chord.csv,2,12,"2,3,8,9,25,35,36,58,68,73,83,92"
output/933_milano_109_stabat_mater_dolorosa_josquin/fourstep/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab_non_chord.csv,4,9,"6,12,22,34,47,51,57,61,84"
output/933_milano_109_stabat_mater_dolorosa_josquin/fourstep/933_milano_109_stabat_mater_dolorosa_josquin_tab_abtab_non_chord.csv,6,6,"0,19,37,52,55,79"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_raw.csv,4,20,"2,3,4,6,9,10,11,13,15,16,18,21,22,23,27,28,29,30,31,32"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_raw.csv,6,7,"0,7,8,12,19,20,25"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_raw.csv,8,5,"5,17,24,26,33"
output/933_milano_109_stabat_mater_dolorosa_josquin/933_milano_109_stabat_mater_dolorosa_josquin_tab_raw.csv,16,2,"1,14"
output/933_milano_109_stabat_mater_dolorosa_josquin/fourstep/933_milano_109_stabat_mater_dolorosa_josquin_tab_raw_fourstep.csv,4,13,"2,6,9,10,13,15,18,21,23,28,29,30,31"
output/933_milano_109_stabat_mater_dolorosa_josquin/fourstep/933_milano_109_stabat_mater_dolorosa_josquin_tab_raw_non_chord.csv,4,8,"2,4,9,11,16,18,21,27"
output/933_milano_109_stabat_mater_dolorosa_josquin/fourstep/933_milano_109_stabat_mater_dolorosa_josquin_tab_raw_non_chord.csv,6,6,"0,7,12,19,20,25"
output/933_milano_109_stabat_mater_dolorosa_josquin/voices/933_milano_109_stabat_mater_dolorosa_josquin_voice-4.csv,3,1,0
output/933_milano_109_stabat_mater_dolorosa_josquin/voices/933_milano_109_stabat_mater_dolorosa_josquin_voice-4.csv,4,1,1
output/933_milano_109_stabat_mater_dolorosa_josquin/voices/933_milano_109_stabat_mater_dolorosa_josquin_voice-4.csv,6,1,2
output/933_milano_109_stabat_mater_dolorosa_josquin/voices/933_milano_109_stabat_mater_dolorosa_josquin_voice-4_fourstep.csv,4,1,1
output/933_milano_109_stabat_mater_dolorosa_josquin/voices/933_milano_109_stabat_mater_dolorosa_josquin_voice-2.csv,1,1,5
