note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
3,60,1/4,1,1,4,match,2,0,True
2,48,1/4,1,1,2,adaptation,1,0,True
4,72,1/4,1,1,0,match,0,0,True
5,62,1/8,5/4,2,0,ornamentation,0,0,False
6,64,1/8,11/8,3,0,ornamentation,0,0,False
7,65,1/8,3/2,4,0,ornamentation,0,0,False
8,67,1/8,13/8,5,0,ornamentation,0,0,False
9,69,1/8,7/4,6,0,ornamentation,0,0,False
10,71,1/8,15/8,7,0,ornamentation,0,0,False
11,57,1/4,2,8,4,match,2,0,True
12,60,1/4,2,8,2,repetition,1,0,True
13,72,1/4,2,8,0,match,0,0,True
10,71,1/8,15/8,7,0,ornamentation,0,1,True
11,57,1/4,2,8,4,match,2,1,False
12,60,1/4,2,8,2,repetition,1,1,False
13,72,1/4,2,8,0,match,0,1,False
14,55,1/4,9/4,9,4,adaptation,1,1,False
15,70,1/4,9/4,9,0,adaptation,0,1,False
16,53,1/4,5/2,10,4,adaptation,1,1,False
17,69,1/4,5/2,10,0,adaptation,0,1,False
18,52,1/4,11/4,11,4,adaptation,1,1,False
19,67,1/4,11/4,11,0,adaptation,0,1,False
20,53,1/4,3,12,4,match,2,1,False
21,60,1/4,3,12,2,repetition,1,1,False
22,65,1/4,3,12,0,adaptation,0,1,False
23,69,1/4,3,12,0,match,0,1,False
24,67,1/4,13/4,13,0,ornamentation,0,1,False
25,65,1/4,7/2,14,0,ornamentation,0,1,False
26,64,1/4,15/4,15,0,ornamentation,0,1,False
27,58,1/4,4,16,4,match,2,1,False
28,62,1/4,4,16,2,match,1,1,False
29,65,1/4,4,16,0,match,0,1,False
30,60,1/4,17/4,17,4,ornamentation,0,1,False
31,58,1/4,9/2,18,4,ornamentation,0,1,False
32,57,1/4,19/4,19,4,match,0,1,False
33,55,1/4,5,20,4,match,2,1,False
34,58,1/4,5,20,3,match,1,1,False
35,70,1/4,5,20,0,match,0,1,False
36,64,1/8,21/4,21,2,ornamentation,0,1,True
33,55,1/4,5,20,4,match,2,2,True
34,58,1/4,5,20,3,match,1,2,True
35,70,1/4,5,20,0,match,0,2,True
36,64,1/8,21/4,21,2,ornamentation,0,2,False
37,62,1/8,43/8,22,2,ornamentation,0,2,False
38,65,1/4,11/2,23,2,adaptation,0,2,True
37,62,1/8,43/8,22,2,ornamentation,0,3,True
38,65,1/4,11/2,23,2,adaptation,0,3,False
39,64,1/4,23/4,24,2,ornamentation,0,3,False
40,53,1/2,6,25,4,match,4,3,True
41,60,1/2,6,25,3,match,3,3,True
42,65,1/2,6,25,2,match,2,3,True
41,60,1/2,6,25,1,match,1,3,True
43,69,1/2,6,25,0,match,0,3,True
40,53,1/2,6,25,4,match,4,4,True
41,60,1/2,6,25,3,match,3,4,True
42,65,1/2,6,25,2,match,2,4,True
41,60,1/2,6,25,1,match,1,4,True
43,69,1/2,6,25,0,match,0,4,True
44,57,1/8,13/2,26,3,match,0,4,False
45,64,1/8,53/8,27,0,ornamentation,0,4,False
46,65,1/8,27/4,28,0,match,0,4,False
47,67,1/8,55/8,29,0,ornamentation,0,4,False
48,53,1/8,7,30,4,repetition,3,4,False
49,57,1/8,7,30,3,repetition,2,4,False
50,60,1/8,7,30,1,match,1,4,False
51,65,1/8,7,30,0,match,0,4,False
52,71,1/8,57/8,31,2,ornamentation,0,4,False
53,72,1/8,29/4,32,2,ornamentation,0,4,False
54,71,1/8,59/8,33,2,ornamentation,0,4,False
55,69,1/8,15/2,34,2,adaptation,0,4,False
56,67,1/8,61/8,35,2,ornamentation,0,4,False
57,65,1/8,31/4,36,2,repetition,0,4,False
58,64,1/8,63/8,37,2,ornamentation,0,4,False
59,53,1/8,8,38,3,match,3,4,False
62,65,1/8,8,38,2,repetition,2,4,False
60,57,1/8,8,38,1,match,1,4,False
61,60,1/8,8,38,0,adaptation,0,4,False
63,55,1/8,65/8,39,1,ornamentation,0,4,False
64,57,1/8,33/4,40,1,ornamentation,0,4,False
65,58,1/8,67/8,41,1,ornamentation,0,4,False
67,60,1/4,17/2,42,3,match,1,4,True
66,57,1/4,17/2,42,1,repetition,0,4,True
70,62,1/2,9,44,3,match,2,5,True
71,65,1/2,9,44,2,repetition,1,5,True
69,53,1/2,9,44,1,match,0,5,True
72,60,1/4,19/2,45,3,match,1,5,False
73,64,1/4,19/2,45,2,adaptation,0,5,False
74,58,1/4,39/4,46,3,adaptation,1,5,False
75,62,1/4,39/4,46,2,adaptation,0,5,False
76,48,1/4,10,47,4,match,2,5,False
78,64,1/4,10,47,2,match,1,5,False
77,60,1/4,10,47,1,match,0,5,False
79,57,1/4,41/4,48,3,ornamentation,0,5,False
80,58,1/4,21/2,49,3,match,0,5,False
81,57,1/4,43/4,50,3,match,0,5,False
82,48,1/4,11,51,4,repetition,2,5,False
83,55,1/4,11,51,3,match,1,5,False
84,60,1/4,11,51,1,match,0,5,False
85,64,1/4,45/4,52,2,ornamentation,0,5,False
86,65,1/8,23/2,53,2,ornamentation,0,5,True
85,64,1/4,45/4,52,2,ornamentation,0,6,True
86,65,1/8,23/2,53,2,ornamentation,0,6,False
87,64,1/8,93/8,54,2,ornamentation,0,6,False
88,62,1/8,47/4,55,2,ornamentation,0,6,False
89,64,1/8,95/8,56,2,ornamentation,0,6,False
90,53,1/4,12,57,3,match,3,6,True
93,65,1/4,12,57,2,match,2,6,True
91,57,1/4,12,57,1,match,1,6,True
92,60,1/4,12,57,0,adaptation,0,6,True
89,64,1/8,95/8,56,2,ornamentation,0,7,True
90,53,1/4,12,57,3,match,3,7,False
93,65,1/4,12,57,2,match,2,7,False
91,57,1/4,12,57,1,match,1,7,False
92,60,1/4,12,57,0,adaptation,0,7,False
94,52,1/4,49/4,58,3,ornamentation,0,7,False
95,53,1/4,25/2,59,3,ornamentation,0,7,False
96,55,1/4,51/4,60,3,ornamentation,0,7,False
97,53,1/4,13,61,4,match,4,7,False
97,53,1/4,13,61,3,match,3,7,False
99,60,1/4,13,61,2,adaptation,2,7,False
98,57,1/4,13,61,1,repetition,1,7,False
100,65,1/4,13,61,0,repetition,0,7,False
101,52,1/4,53/4,62,4,ornamentation,0,7,False
102,50,1/4,27/2,63,4,adaptation,0,7,False
103,48,1/4,55/4,64,3,ornamentation,0,7,False
104,58,1/4,14,65,3,match,2,7,False
106,65,1/4,14,65,2,repetition,1,7,False
105,62,1/4,14,65,1,match,0,7,False
107,60,1/4,57/4,66,0,ornamentation,0,7,False
108,62,1/4,29/2,67,0,ornamentation,0,7,False
109,64,1/4,59/4,68,0,ornamentation,0,7,False
110,46,1/4,15,69,4,match,3,7,False
111,58,1/4,15,69,3,match,2,7,False
112,62,1/4,15,69,1,match,1,7,False
113,65,1/4,15,69,0,match,0,7,False
114,48,1/4,61/4,70,4,ornamentation,0,7,False
115,50,1/4,31/2,71,4,ornamentation,0,7,False
116,52,1/4,63/4,72,4,ornamentation,0,7,False
117,53,1/4,16,73,4,match,4,7,False
118,57,1/4,16,73,3,match,3,7,False
120,65,1/4,16,73,2,repetition,2,7,False
119,60,1/4,16,73,1,match,1,7,False
121,69,1/4,16,73,0,match,0,7,False
122,67,1/4,65/4,74,0,ornamentation,0,7,False
123,69,1/4,33/2,75,0,ornamentation,0,7,False
124,70,1/4,67/4,76,0,match,0,7,False
125,53,1/4,17,77,4,match,4,7,False
125,53,1/4,17,77,3,match,3,7,False
127,65,1/4,17,77,2,repetition,2,7,False
126,60,1/4,17,77,1,match,1,7,False
128,72,1/4,17,77,0,match,0,7,False
129,55,1/4,69/4,78,4,ornamentation,0,7,False
130,53,1/4,35/2,79,4,ornamentation,0,7,False
131,52,1/4,71/4,80,4,ornamentation,0,7,False
132,50,1/2,18,81,4,match,2,7,True
133,57,1/2,18,81,1,adaptation,1,7,True
134,65,1/2,18,81,0,match,0,7,True
132,50,1/2,18,81,4,match,2,8,True
133,57,1/2,18,81,1,adaptation,1,8,True
134,65,1/2,18,81,0,match,0,8,True
135,77,1/4,37/2,82,0,match,0,8,False
136,52,1/4,75/4,83,4,ornamentation,0,8,False
137,50,1/2,19,84,4,match,3,8,True
138,57,1/2,19,84,3,adaptation,2,8,True
139,65,1/2,19,84,2,repetition,1,8,True
140,77,1/2,19,84,0,match,0,8,True
137,50,1/2,19,84,4,match,3,9,True
138,57,1/2,19,84,3,adaptation,2,9,True
139,65,1/2,19,84,2,repetition,1,9,True
140,77,1/2,19,84,0,match,0,9,True
141,76,1/4,39/2,85,0,adaptation,0,9,False
142,74,1/4,79/4,86,2,ornamentation,0,9,False
143,48,1/8,20,87,4,match,3,9,True
145,60,1/8,20,87,3,match,2,9,True
146,64,1/8,20,87,2,adaptation,1,9,True
144,55,1/8,20,87,1,match,0,9,True
142,74,1/4,79/4,86,2,ornamentation,0,10,True
143,48,1/8,20,87,4,match,3,10,False
145,60,1/8,20,87,3,match,2,10,False
146,64,1/8,20,87,2,adaptation,1,10,False
144,55,1/8,20,87,1,match,0,10,False
147,72,1/8,161/8,88,0,ornamentation,0,10,False
148,74,1/8,81/4,89,0,ornamentation,0,10,False
149,76,1/8,163/8,90,0,ornamentation,0,10,False
150,77,1/4,41/2,91,0,repetition,0,10,True
149,76,1/8,163/8,90,0,ornamentation,0,11,True
150,77,1/4,41/2,91,0,repetition,0,11,False
151,74,1/4,83/4,92,0,match,0,11,False
152,48,1/4,21,93,4,repetition,4,11,False
154,60,1/4,21,93,3,repetition,3,11,False
155,67,1/4,21,93,2,repetition,2,11,False
153,55,1/4,21,93,1,repetition,1,11,False
156,76,1/4,21,93,0,match,0,11,False
157,60,1/4,85/4,94,0,ornamentation,0,11,False
158,62,1/4,43/2,95,0,ornamentation,0,11,False
159,59,1/4,87/4,96,0,ornamentation,0,11,False
160,60,1/8,22,97,0,ornamentation,0,11,True
159,59,1/4,87/4,96,0,ornamentation,0,12,True
160,60,1/8,22,97,0,ornamentation,0,12,False
161,74,1/8,177/8,98,0,ornamentation,0,12,False
162,76,1/8,89/4,99,0,ornamentation,0,12,False
163,77,1/8,179/8,100,0,ornamentation,0,12,False
164,48,1/2,45/2,101,3,match,3,12,True
166,67,1/2,45/2,101,2,repetition,2,12,True
165,60,1/2,45/2,101,1,match,1,12,True
167,76,1/2,45/2,101,0,match,0,12,True
164,48,1/2,45/2,101,3,match,3,13,True
166,67,1/2,45/2,101,2,repetition,2,13,True
165,60,1/2,45/2,101,1,match,1,13,True
167,76,1/2,45/2,101,0,match,0,13,True
168,48,1/4,23,102,3,match,3,13,False
170,67,1/4,23,102,2,repetition,2,13,False
169,60,1/4,23,102,1,match,1,13,False
171,76,1/4,23,102,0,match,0,13,False
172,72,1/4,93/4,103,0,ornamentation,0,13,False
173,74,1/4,47/2,104,0,adaptation,0,13,False
174,76,1/4,95/4,105,0,ornamentation,0,13,False
175,53,1/2,24,106,3,match,3,13,True
177,65,1/2,24,106,2,match,2,13,True
176,57,1/2,24,106,1,match,1,13,True
178,77,1/2,24,106,0,match,0,13,True
175,53,1/2,24,106,3,match,3,14,True
177,65,1/2,24,106,2,match,2,14,True
176,57,1/2,24,106,1,match,1,14,True
178,77,1/2,24,106,0,match,0,14,True
179,69,1/4,49/2,107,1,match,1,14,False
180,77,1/4,49/2,107,0,repetition,0,14,False
181,76,1/4,99/4,108,0,match,0,14,False
182,57,1/4,25,109,3,match,2,14,False
183,65,1/4,25,109,2,repetition,1,14,False
184,72,1/4,25,109,0,match,0,14,False
185,53,1/4,101/4,110,3,adaptation,0,14,False
186,58,1/4,51/2,111,3,match,1,14,False
187,74,1/4,51/2,111,0,match,0,14,False
188,55,1/4,103/4,112,3,ornamentation,0,14,False
189,57,1/4,26,113,3,match,2,14,False
190,60,1/4,26,113,2,match,1,14,False
191,65,1/4,26,113,1,repetition,0,14,False
192,65,1/4,105/4,114,1,repetition,1,14,False
193,74,1/4,105/4,114,0,repetition,0,14,False
194,64,1/4,53/2,115,1,match,1,14,False
195,72,1/4,53/2,115,0,match,0,14,False
196,62,1/4,107/4,116,1,match,1,14,False
197,70,1/4,107/4,116,0,match,0,14,False
198,57,1/4,27,117,3,match,3,14,False
199,60,1/4,27,117,2,repetition,2,14,False
200,64,1/4,27,117,1,match,1,14,False
201,72,1/4,27,117,0,match,0,14,False
202,55,1/4,109/4,118,3,ornamentation,0,14,False
203,53,1/4,55/2,119,3,ornamentation,0,14,False
204,52,1/4,111/4,120,3,ornamentation,0,14,False
205,50,1/8,28,121,3,match,3,14,True
207,65,1/8,28,121,2,match,2,14,True
