note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
3;60;1/4;1;1;4;match;2;0;True
2;48;1/4;1;1;2;adaptation;1;0;True
4;72;1/4;1;1;0;match;0;0;True
5;62;1/8;5/4;2;0;ornamentation;0;0;False
6;64;1/8;11/8;3;0;ornamentation;0;0;False
7;65;1/8;3/2;4;0;ornamentation;0;0;False
8;67;1/8;13/8;5;0;ornamentation;0;0;False
9;69;1/8;7/4;6;0;ornamentation;0;0;False
10;71;1/8;15/8;7;0;ornamentation;0;0;False
11;57;1/4;2;8;4;match;2;0;True
12;60;1/4;2;8;2;repetition;1;0;True
13;72;1/4;2;8;0;match;0;0;True
33;55;1/4;5;20;4;match;2;2;True
34;58;1/4;5;20;3;match;1;2;True
35;70;1/4;5;20;0;match;0;2;True
36;64;1/8;21/4;21;2;ornamentation;0;2;False
37;62;1/8;43/8;22;2;ornamentation;0;2;False
38;65;1/4;11/2;23;2;adaptation;0;2;True
37;62;1/8;43/8;22;2;ornamentation;0;3;True
38;65;1/4;11/2;23;2;adaptation;0;3;False
39;64;1/4;23/4;24;2;ornamentation;0;3;False
40;53;1/2;6;25;4;match;4;3;True
41;60;1/2;6;25;3;match;3;3;True
42;65;1/2;6;25;2;match;2;3;True
41;60;1/2;6;25;1;match;1;3;True
43;69;1/2;6;25;0;match;0;3;True
85;64;1/4;45/4;52;2;ornamentation;0;6;True
86;65;1/8;23/2;53;2;ornamentation;0;6;False
87;64;1/8;93/8;54;2;ornamentation;0;6;False
88;62;1/8;47/4;55;2;ornamentation;0;6;False
89;64;1/8;95/8;56;2;ornamentation;0;6;False
90;53;1/4;12;57;3;match;3;6;True
93;65;1/4;12;57;2;match;2;6;True
91;57;1/4;12;57;1;match;1;6;True
92;60;1/4;12;57;0;adaptation;0;6;True
132;50;1/2;18;81;4;match;2;8;True
133;57;1/2;18;81;1;adaptation;1;8;True
134;65;1/2;18;81;0;match;0;8;True
135;77;1/4;37/2;82;0;match;0;8;False
136;52;1/4;75/4;83;4;ornamentation;0;8;False
137;50;1/2;19;84;4;match;3;8;True
138;57;1/2;19;84;3;adaptation;2;8;True
139;65;1/2;19;84;2;repetition;1;8;True
140;77;1/2;19;84;0;match;0;8;True
137;50;1/2;19;84;4;match;3;9;True
138;57;1/2;19;84;3;adaptation;2;9;True
139;65;1/2;19;84;2;repetition;1;9;True
140;77;1/2;19;84;0;match;0;9;True
141;76;1/4;39/2;85;0;adaptation;0;9;False
142;74;1/4;79/4;86;2;ornamentation;0;9;False
143;48;1/8;20;87;4;match;3;9;True
145;60;1/8;20;87;3;match;2;9;True
146;64;1/8;20;87;2;adaptation;1;9;True
144;55;1/8;20;87;1;match;0;9;True
159;59;1/4;87/4;96;0;ornamentation;0;12;True
160;60;1/8;22;97;0;ornamentation;0;12;False
161;74;1/8;177/8;98;0;ornamentation;0;12;False
162;76;1/8;89/4;99;0;ornamentation;0;12;False
163;77;1/8;179/8;100;0;ornamentation;0;12;False
164;48;1/2;45/2;101;3;match;3;12;True
166;67;1/2;45/2;101;2;repetition;2;12;True
165;60;1/2;45/2;101;1;match;1;12;True
167;76;1/2;45/2;101;0;match;0;12;True
233;50;1/4;31;139;4;match;4;19;True
235;62;1/4;31;139;3;adaptation;3;19;True
236;65;1/4;31;139;2;repetition;2;19;True
234;57;1/4;31;139;1;match;1;19;True
237;69;1/4;31;139;0;match;0;19;True
238;62;1/8;125/4;140;0;ornamentation;0;19;False
239;64;1/8;251/8;141;0;ornamentation;0;19;False
240;65;1/8;63/2;142;0;ornamentation;0;19;False
241;67;1/8;253/8;143;0;ornamentation;0;19;False
242;69;1/8;127/4;144;0;ornamentation;0;19;False
243;71;1/8;255/8;145;0;ornamentation;0;19;False
244;45;1/4;32;146;4;match;4;19;True
245;57;1/4;32;146;3;match;3;19;True
246;64;1/4;32;146;2;match;2;19;True
245;57;1/4;32;146;1;match;1;19;True
247;72;1/4;32;146;0;match;0;19;True
259;72;1/8;269/8;155;0;ornamentation;0;22;True
260;74;1/16;135/4;156;0;ornamentation;0;22;False
261;72;1/16;541/16;157;0;ornamentation;0;22;False
262;70;1/16;271/8;158;0;ornamentation;0;22;False
263;69;1/16;543/16;159;0;ornamentation;0;22;False
264;48;1/4;34;160;4;match;3;22;True
265;52;1/4;34;160;3;match;2;22;True
266;60;1/4;34;160;1;match;1;22;True
267;67;1/4;34;160;0;match;0;22;True
280;53;1/8;283/8;167;1;ornamentation;0;25;True
281;55;1/4;71/2;168;1;repetition;0;25;False
282;57;1/4;143/4;169;2;ornamentation;0;25;False
283;50;3/16;36;170;4;adaptation;3;25;True
284;62;3/16;36;170;2;match;2;25;True
285;65;3/16;36;170;1;adaptation;1;25;True
286;70;3/16;36;170;0;match;0;25;True
283;50;3/16;36;170;4;adaptation;3;26;True
284;62;3/16;36;170;2;match;2;26;True
285;65;3/16;36;170;1;adaptation;1;26;True
286;70;3/16;36;170;0;match;0;26;True
287;72;1/16;579/16;171;1;ornamentation;0;26;False
288;74;3/16;145/4;172;1;ornamentation;0;26;True
287;72;1/16;579/16;171;1;ornamentation;0;27;True
288;74;3/16;145/4;172;1;ornamentation;0;27;False
289;60;1/16;583/16;173;1;ornamentation;0;27;True
288;74;3/16;145/4;172;1;ornamentation;0;28;True
289;60;1/16;583/16;173;1;ornamentation;0;28;False
290;62;3/16;73/2;174;1;match;0;28;True
290;62;3/16;73/2;174;1;match;0;29;True
291;72;1/16;587/16;175;0;ornamentation;0;29;False
292;70;3/16;147/4;176;0;repetition;0;29;True
292;70;3/16;147/4;176;0;repetition;0;30;True
293;57;1/16;591/16;177;2;ornamentation;0;30;False
294;50;3/16;37;178;3;match;3;30;True
295;62;3/16;37;178;2;repetition;2;30;True
296;65;3/16;37;178;1;match;1;30;True
297;70;3/16;37;178;0;match;0;30;True
294;50;3/16;37;178;3;match;3;31;True
295;62;3/16;37;178;2;repetition;2;31;True
296;65;3/16;37;178;1;match;1;31;True
297;70;3/16;37;178;0;match;0;31;True
298;69;1/16;595/16;179;3;ornamentation;0;31;False
299;67;3/16;149/4;180;3;ornamentation;0;31;True
298;69;1/16;595/16;179;3;ornamentation;0;32;True
299;67;3/16;149/4;180;3;ornamentation;0;32;False
300;53;1/16;599/16;181;3;ornamentation;0;32;True
299;67;3/16;149/4;180;3;ornamentation;0;33;True
300;53;1/16;599/16;181;3;ornamentation;0;33;False
301;55;1/8;75/2;182;3;adaptation;0;33;True
300;53;1/16;599/16;181;3;ornamentation;0;34;True
301;55;1/8;75/2;182;3;adaptation;0;34;False
302;57;1/8;301/8;183;4;ornamentation;0;34;False
303;53;1/8;151/4;184;4;ornamentation;0;34;False
304;55;1/8;303/8;185;4;ornamentation;0;34;False
305;53;1/4;38;186;4;match;3;34;True
306;60;1/4;38;186;2;match;2;34;True
307;65;1/4;38;186;1;match;1;34;True
308;69;1/4;38;186;0;match;0;34;True
305;53;1/4;38;186;4;match;3;35;True
306;60;1/4;38;186;2;match;2;35;True
307;65;1/4;38;186;1;match;1;35;True
308;69;1/4;38;186;0;match;0;35;True
309;70;1/8;153/4;187;0;ornamentation;0;35;False
310;72;1/8;307/8;188;0;ornamentation;0;35;False
311;57;1/4;77/2;189;3;match;1;35;True
312;72;1/4;77/2;189;0;adaptation;0;35;True
311;57;1/4;77/2;189;3;match;1;36;True
312;72;1/4;77/2;189;0;adaptation;0;36;True
313;74;1/8;155/4;190;0;ornamentation;0;36;False
314;72;1/8;311/8;191;0;ornamentation;0;36;False
315;53;1/4;39;192;4;match;3;36;True
317;65;1/4;39;192;2;adaptation;2;36;True
316;60;1/4;39;192;1;match;1;36;True
318;69;1/4;39;192;0;match;0;36;True
315;53;1/4;39;192;4;match;3;37;True
317;65;1/4;39;192;2;adaptation;2;37;True
316;60;1/4;39;192;1;match;1;37;True
318;69;1/4;39;192;0;match;0;37;True
319;57;1/8;157/4;193;0;ornamentation;0;37;False
320;72;1/8;315/8;194;0;ornamentation;0;37;False
321;74;1/8;79/2;195;0;adaptation;0;37;False
322;72;1/8;317/8;196;0;ornamentation;0;37;False
323;70;1/8;159/4;197;0;ornamentation;0;37;False
324;69;1/8;319/8;198;0;ornamentation;0;37;False
325;48;1/2;40;199;4;match;3;37;True
326;60;1/2;40;199;3;match;2;37;True
327;64;1/2;40;199;2;match;1;37;True
328;67;1/2;40;199;0;match;0;37;True
463;64;1/4;229/4;274;0;ornamentation;0;47;True
464;65;1/8;115/2;275;0;repetition;0;47;False
465;67;1/8;461/8;276;1;ornamentation;0;47;False
466;69;1/8;231/4;277;1;ornamentation;0;47;False
467;58;1/8;463/8;278;1;ornamentation;0;47;False
468;53;1/4;58;279;4;match;4;47;True
468;53;1/4;58;279;3;match;3;47;True
470;65;1/4;58;279;2;adaptation;2;47;True
469;60;1/4;58;279;1;match;1;47;True
471;69;1/4;58;279;0;match;0;47;True
546;46;1/2;68;322;4;match;3;51;True
547;58;1/2;68;322;3;repetition;2;51;True
548;62;1/2;68;322;1;match;1;51;True
549;65;1/2;68;322;0;match;0;51;True
550;67;1/8;137/2;323;0;adaptation;0;51;False
551;69;1/8;549/8;324;0;ornamentation;0;51;False
552;70;1/8;275/4;325;0;ornamentation;0;51;False
553;72;1/8;551/8;326;0;ornamentation;0;51;False
554;55;1/2;69;327;3;match;3;51;True
555;58;1/2;69;327;2;repetition;2;51;True
556;62;1/2;69;327;1;match;1;51;True
557;70;1/2;69;327;0;match;0;51;True
569;46;1/4;71;333;4;match;3;52;True
570;58;1/4;71;333;2;repetition;2;52;True
571;65;1/4;71;333;1;match;1;52;True
572;70;1/4;71;333;0;match;0;52;True
573;69;1/8;285/4;334;0;ornamentation;0;52;False
574;70;1/8;571/8;335;0;ornamentation;0;52;False
575;72;1/8;143/2;336;0;ornamentation;0;52;False
576;70;1/8;573/8;337;0;ornamentation;0;52;False
577;69;1/8;287/4;338;0;ornamentation;0;52;False
578;67;1/8;575/8;339;0;ornamentation;0;52;False
579;53;1/4;72;340;4;match;2;52;True
580;60;1/4;72;340;2;match;1;52;True
581;69;1/4;72;340;0;match;0;52;True
612;53;1/4;76;353;4;match;4;55;True
612;53;1/4;76;353;3;match;3;55;True
613;57;1/4;76;353;2;match;2;55;True
614;65;1/4;76;353;1;match;1;55;True
615;69;1/4;76;353;0;match;0;55;True
616;67;1/8;305/4;354;2;ornamentation;0;55;False
617;65;1/8;611/8;355;2;ornamentation;0;55;False
618;64;1/8;153/2;356;2;ornamentation;0;55;False
619;62;1/8;613/8;357;2;ornamentation;0;55;False
620;60;1/8;307/4;358;2;ornamentation;0;55;False
621;59;1/8;615/8;359;2;ornamentation;0;55;False
622;57;1/4;77;360;2;repetition;1;55;True
623;69;1/4;77;360;0;repetition;0;55;True
667;55;1/4;84;388;3;match;2;57;True
668;58;1/4;84;388;2;match;1;57;True
669;62;1/4;84;388;1;match;0;57;True
670;60;1/16;337/4;389;3;ornamentation;0;57;False
671;58;1/16;1349/16;390;3;ornamentation;0;57;False
672;57;1/16;675/8;391;3;ornamentation;0;57;False
673;55;1/16;1351/16;392;3;ornamentation;0;57;False
674;57;1/8;169/2;393;3;ornamentation;0;57;True
673;55;1/16;1351/16;392;3;ornamentation;0;58;True
674;57;1/8;169/2;393;3;ornamentation;0;58;False
675;53;1/8;677/8;394;3;ornamentation;0;58;False
676;60;1/4;339/4;395;3;ornamentation;0;58;True
698;46;1/2;88;407;4;match;3;61;True
700;58;1/2;88;407;3;adaptation;2;61;True
699;53;1/2;88;407;2;match;1;61;True
701;62;1/2;88;407;1;match;0;61;True
702;50;1/4;177/2;408;3;ornamentation;0;61;False
703;52;1/4;355/4;409;3;ornamentation;0;61;False
704;53;1/4;89;410;3;ornamentation;0;61;False
705;55;1/4;357/4;411;3;ornamentation;0;61;False
706;45;1/8;179/2;412;4;match;2;61;True
707;57;1/8;179/2;412;3;match;1;61;True
708;60;1/8;179/2;412;1;match;0;61;True
745;60;3/16;95;436;4;match;2;64;True
743;53;3/16;95;436;2;repetition;1;64;True
744;58;3/16;95;436;1;repetition;0;64;True
746;67;1/16;1523/16;437;0;ornamentation;0;64;False
747;69;3/16;381/4;438;0;ornamentation;0;64;True
746;67;1/16;1523/16;437;0;ornamentation;0;65;True
747;69;3/16;381/4;438;0;ornamentation;0;65;False
748;67;1/16;1527/16;439;0;ornamentation;0;65;True
747;69;3/16;381/4;438;0;ornamentation;0;66;True
748;67;1/16;1527/16;439;0;ornamentation;0;66;False
749;65;3/16;191/2;440;0;adaptation;0;66;True
