note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
259;72;1/8;269/8;155;0;ornamentation;0;7;True;[monotonic_perfect_fifth_0_0]
260;74;1/16;135/4;156;0;ornamentation;0;7;False;[monotonic_perfect_fifth_0_0]
261;72;1/16;541/16;157;0;ornamentation;0;7;False;[monotonic_perfect_fifth_0_0]
262;70;1/16;271/8;158;0;ornamentation;0;7;False;[monotonic_perfect_fifth_0_0]
263;69;1/16;543/16;159;0;ornamentation;0;7;False;[monotonic_perfect_fifth_0_0]
267;67;1/4;34;160;0;match;0;7;True;[monotonic_perfect_fifth_0_0]
549;65;1/2;68;322;0;match;0;14;True;[monotonic]
550;67;1/8;137/2;323;0;adaptation;0;14;False;[monotonic]
551;69;1/8;549/8;324;0;ornamentation;0;14;False;[monotonic]
552;70;1/8;275/4;325;0;ornamentation;0;14;False;[monotonic]
553;72;1/8;551/8;326;0;ornamentation;0;14;False;[monotonic]
557;70;1/2;69;327;0;match;0;14;True;[monotonic]
766;72;1/2;97;452;0;match;0;19;True;[non_monotonic]
772;72;1/8;98;454;0;repetition;0;19;False;[non_monotonic]
773;70;1/8;785/8;455;0;ornamentation;0;19;False;[non_monotonic]
774;72;1/8;393/4;456;0;ornamentation;0;19;False;[non_monotonic]
775;74;1/8;787/8;457;0;ornamentation;0;19;False;[non_monotonic]
776;72;1/4;197/2;458;0;repetition;0;19;True;[non_monotonic]
1033;67;1/4;271/2;615;0;match;0;24;True;[monotonic_perfect_fifth_0_0]
1038;69;1/8;136;617;0;adaptation;0;24;False;[monotonic_perfect_fifth_0_0]
1039;71;1/8;1089/8;618;0;ornamentation;0;24;False;[monotonic_perfect_fifth_0_0]
1040;72;1/8;545/4;619;0;ornamentation;0;24;False;[monotonic_perfect_fifth_0_0]
1041;74;1/8;1091/8;620;0;ornamentation;0;24;False;[monotonic_perfect_fifth_0_0]
1043;76;1/4;273/2;621;0;match;0;24;True;[monotonic_perfect_fifth_0_0]
